speaker,word,time,word_duration,vowel_duration,consonant_duration,sentence_norm
lm01,göb,7.659932,0.27999999999999936,0.13242941047812895,0.10123381574262424,ul göb l' è bass
lm01,fögh,10.531768025244162,0.4624516827811984,0.13768447828258346,0.06936775241717896,ul fögh l' è russ
lm01,lagh,14.290631346810152,0.440380125193915,0.18603169966425526,0.1902358058713567,a vighi ul lagh
lm01,sed,16.59539631144629,0.47926794700765285,0.18077650632744735,0.14399058934221287,la sed l' è brüta
lm01,göb,19.951565329035727,0.4487837985577272,0.12717408491722182,0.20395110568358987,a vighi ul göb
lm01,tüss,22.07743704523325,0.43425365506467273,0.18242619299520513,0.11897360412730862,la tüss la vegn cul frecc
lm01,set,26.349955,0.75,0.1207308341338873,0.3792691658661127,a gn' ho set
lm01,tus,29.149932,0.6756156379134701,0.29336066274763795,0.20225497516583246,a vighi ul tus
lm01,sach,31.479977,0.42012901713854234,0.13880233532210084,0.11302475876228613,ul sach l' è pien
lm01,tus,34.662289821763885,0.34771017823611317,0.15466539068044938,0.060191182740403804,ul me tus l' è grand
lm01,lagh,37.319955,0.4138941469263173,0.1882926607622295,0.12863519110594268,ul lagh l' è sü
lm01,figh,40.049932,0.6060794725171803,0.19305665626822588,0.16302281624895443,ul figh l' è dulz
lm01,növ,43.432117829584435,0.3828481704155635,0.19641517041270617,0.1064735522435214,ul papa növ l' è giuvin
lm01,sed,47.7519019746836,0.4430640253164029,0.10443649165948443,0.10937669830683205,a g' ho sed
lm01,pass,50.954921,0.4555991575643077,0.13372965395421232,0.1681172792567338,ti gh' è ul pass lent
lm01,set,53.924966,0.5845740528917673,0.16713282066059065,0.19457405289176677,ul set l' è un nümar
lm01,nas,57.13,0.3161206341598515,0.18722151553590294,0.06240717184530098,ul nas l' è lung
lm01,tüss,60.429932,0.5474095346537666,0.1133518019230948,0.2598176133967627,a g' ho la tüss
lm01,pich,63.65073040750942,0.5374655500662655,0.10316281885157963,0.25854385465273566,a g' ho dai un pich
lm01,fögh,66.46325097170889,0.624070510416388,0.23774200871974926,0.17957947340552494,a vighi ul fögh
lm01,figh,69.434966,0.6413600045554091,0.18212669997865305,0.24962820416655518,a vighi ul figh
lm01,pass,72.51228486528122,0.6090363368075771,0.14801849824044666,0.3304463373318498,a fagh un pass
lm01,nas,75.2096539471965,0.5624618507776233,0.26361275944640283,0.2209671556626489,a vighi ul nas
lm01,növ,78.08398746605388,0.5417126714307017,0.15347436002944903,0.29730115973207205,cul lì l' è növ
lm01,pich,80.589955,0.2994411711793248,0.08135606060236,0.08738243546179092,l' ass da pich l' è na carta
lm01,sach,84.154943,0.641737099453394,0.13358464271745163,0.2942879723023566,a vighi ul sach
lm01,set,86.93699476013096,0.5674836325966766,0.14000000000000057,0.2895123927276302,a gn' ho set
lm01,fögh,89.124921,0.33702219332447214,0.11073206987070705,0.0662901234537685,ul fögh l' è russ
lm01,figh,92.054966,0.3627504872118976,0.1203900307996264,0.08236045641226042,ul figh l' è dulz
lm01,pich,94.914943,0.26565037957114157,0.09541760194103688,0.06528572764386809,l' ass da pich l' è na carta
lm01,nas,98.32304278752358,0.5402290837247392,0.2944475390055743,0.17764219634879908,a vighi ul nas
lm01,sed,100.56543241063044,0.33951058936956713,0.11284373687202276,0.06395473129283857,a g' ho sed
lm01,göb,103.34285794242743,0.45499130188724735,0.1777780583532973,0.1677341002542363,a vighi ul göb
lm01,nas,105.724966,0.27069424225472005,0.15467695472547405,0.06327693602405304,ul nas l' è lung
lm01,sed,108.12085914310582,0.3927187616730947,0.15842713523410623,0.055241769544807084,la sed l' è brüta
lm01,figh,111.274943,0.6012675035596118,0.1684918696261377,0.24205939018726497,a vighi ul figh
lm01,lagh,113.499955,0.2995433680963089,0.15224884883262746,0.06729451926368313,ul lagh l' è sü
lm01,set,116.56,0.4200000000000017,0.14253849200203206,0.10000000000000853,ul set l' è un nümar
lm01,lagh,119.954943,0.4400229999999965,0.25257211372564825,0.09002300000000218,a vighi ul lagh
lm01,sach,122.049932,0.4000000000000057,0.12288388224348523,0.09000000000000341,ul sach l' è pien
lm01,pass,125.06159628643677,0.4790968013249852,0.15668574634527488,0.18581322483254326,a fagh un pass
lm01,tüss,127.31205588579796,0.3917140224708646,0.1827998771530588,0.08035159435300443,la tüss la vegn cul frecc
lm01,göb,130.57755347971087,0.3414940963796198,0.1607031041786513,0.07834276328708256,ul göb l' è bass
lm01,pass,133.554921,0.39746957796333504,0.11886315060925767,0.138606427354091,ti gh' è ul pass lent
lm01,tüss,136.67708336461237,0.6046454294721855,0.10445701771612903,0.32743257476400345,a g' ho la tüss
lm01,tus,139.014989,0.37999999999999545,0.22900192345457526,0.06839342073979537,ul me tus l' è grand
lm01,tus,142.139955,0.6722913340652497,0.33195859930643223,0.18229133406524056,a vighi ul tus
lm01,növ,144.7119305517027,0.311362264346144,0.11048338412280145,0.08236034089156874,ul papa növ l' è giuvin
lm01,sach,147.784943,0.5875692589929997,0.13458884974963325,0.267168910696995,a vighi ul sach
lm01,növ,150.60049591731723,0.6006278518676993,0.26516012189478033,0.2551161778835933,cul lì l' è növ
lm01,pich,153.30587094140924,0.5343378213940184,0.0863779184960265,0.24306344507019162,a g' ho dai un pich
lm01,fögh,155.9226395867872,0.6247333174945311,0.27520406590593893,0.16672947058535215,a vighi ul fögh
lm01,göb,158.08580489974284,0.3316696537162045,0.14061521615630568,0.09039549610051267,ul göb l' è bass
lm01,sach,161.059955,0.6291518177527848,0.11000000000001364,0.31915181775278256,a vighi ul sach
