speaker,word,word_start,consonant_duration,voicing_duration,sentence_norm
lm01,göb,7.659932,0.10123381574262424,0.10123381574262424,ul göb l' è bass
lm01,fögh,10.531768025244162,0.06936775241717896,0.06936775241717896,ul fögh l' è russ
lm01,lagh,14.290631346810152,0.1902358058713567,0.12236746809727883,a vighi ul lagh
lm01,sed,16.59539631144629,0.14399058934221287,0.14399058934221287,la sed l' è brüta
lm01,göb,19.951565329035727,0.20395110568358987,0.10057366963642878,a vighi ul göb
lm01,tüss,22.07743704523325,0.11897360412730862,0.02878295875962067,la tüss la vegn cul frecc
lm01,set,26.349955,0.3792691658661127,0.0031256168713653665,a gn' ho set
lm01,tus,29.149932,0.20225497516583246,0.03512162355071524,a vighi ul tus
lm01,sach,31.479977,0.11302475876228613,0.005120591648719142,ul sach l' è pien
lm01,tus,34.662289821763885,0.060191182740403804,0.039464872623717895,ul me tus l' è grand
lm01,lagh,37.319955,0.12863519110594268,0.06667906054419603,ul lagh l' è sü
lm01,figh,40.049932,0.16302281624895443,0.028283565488678164,ul figh l' è dulz
lm01,növ,43.432117829584435,0.1064735522435214,0.1064735522435214,ul papa növ l' è giuvin
lm01,sed,47.7519019746836,0.10937669830683205,0.07939372028599934,a g' ho sed
lm01,pass,50.954921,0.1681172792567338,0.016417269106874244,ti gh' è ul pass lent
lm01,set,53.924966,0.19457405289176677,0.011016681666241368,ul set l' è un nümar
lm01,nas,57.13,0.06240717184530098,0.06240717184530098,ul nas l' è lung
lm01,tüss,60.429932,0.2598176133967627,0.023256391019614853,a g' ho la tüss
lm01,pich,63.65073040750942,0.25854385465273566,0.022326032983102095,a g' ho dai un pich
lm01,fögh,66.46325097170889,0.17957947340552494,0.11682329062917063,a vighi ul fögh
lm01,figh,69.434966,0.24962820416655518,0.04999180092308109,a vighi ul figh
lm01,pass,72.51228486528122,0.3304463373318498,0.010815858156362879,a fagh un pass
lm01,nas,75.2096539471965,0.2209671556626489,0.09427301688727141,a vighi ul nas
lm01,növ,78.08398746605388,0.29730115973207205,0.09913291580532757,cul lì l' è növ
lm01,pich,80.589955,0.08738243546179092,0.02298673460964551,l' ass da pich l' è na carta
lm01,sach,84.154943,0.2942879723023566,0,a vighi ul sach
lm01,set,86.93699476013096,0.2895123927276302,0.027550620615357957,a gn' ho set
lm01,fögh,89.124921,0.0662901234537685,0.0662901234537685,ul fögh l' è russ
lm01,figh,92.054966,0.08236045641226042,0.0453383516456114,ul figh l' è dulz
lm01,pich,94.914943,0.06528572764386809,0.016297041327973716,l' ass da pich l' è na carta
lm01,nas,98.32304278752358,0.17764219634879908,0.08547834546429556,a vighi ul nas
lm01,sed,100.56543241063044,0.06395473129283857,0.055526934074251244,a g' ho sed
lm01,göb,103.34285794242743,0.1677341002542363,0.08192532415057485,a vighi ul göb
lm01,nas,105.724966,0.06327693602405304,0.06327693602405304,ul nas l' è lung
lm01,sed,108.12085914310582,0.055241769544807084,0.055241769544807084,la sed l' è brüta
lm01,figh,111.274943,0.24205939018726497,0.06028013196682025,a vighi ul figh
lm01,lagh,113.499955,0.06729451926368313,0.06729451926368313,ul lagh l' è sü
lm01,set,116.56,0.10000000000000853,0.040254104472836616,ul set l' è un nümar
lm01,lagh,119.954943,0.09002300000000218,0.09002300000000218,a vighi ul lagh
lm01,sach,122.049932,0.09000000000000341,0.06952113597760956,ul sach l' è pien
lm01,pass,125.06159628643677,0.18581322483254326,0.008454054888602514,a fagh un pass
lm01,tüss,127.31205588579796,0.08035159435300443,0.027226979801028506,la tüss la vegn cul frecc
lm01,göb,130.57755347971087,0.07834276328708256,0.07834276328708256,ul göb l' è bass
lm01,pass,133.554921,0.138606427354091,0.027851896401557497,ti gh' è ul pass lent
lm01,tüss,136.67708336461237,0.32743257476400345,0.020656442961382027,a g' ho la tüss
lm01,tus,139.014989,0.06839342073979537,0,ul me tus l' è grand
lm01,tus,142.139955,0.18229133406524056,0.055846098249503484,a vighi ul tus
lm01,növ,144.7119305517027,0.08236034089156874,0.08236034089156874,ul papa növ l' è giuvin
lm01,sach,147.784943,0.267168910696995,0,a vighi ul sach
lm01,növ,150.60049591731723,0.2551161778835933,0.0404340659204081,cul lì l' è növ
lm01,pich,153.30587094140924,0.24306344507019162,0.04243171221179409,a g' ho dai un pich
lm01,fögh,155.9226395867872,0.16672947058535215,0.12119212484006425,a vighi ul fögh
lm01,göb,158.08580489974284,0.09039549610051267,0.09039549610051267,ul göb l' è bass
lm01,sach,161.059955,0.31915181775278256,0.024147265197484558,a vighi ul sach
lm01,tüss,163.22422245511322,0.0763339744848679,0.039453411167812646,la tüss la vegn cul frecc
lm01,figh,166.844943,0.18079099220099693,0.061196188235328464,a vighi ul figh
lm01,set,169.014943,0.055887167591492926,0.055887167591492926,ul set l' è un nümar
lm01,set,172.264921,0.2450722338724347,0.0005400072669203837,a gn' ho set
lm01,pass,174.82072613987998,0.29529195392828456,0.014880136173331948,a fagh un pass
lm01,tus,177.31799741844532,0.05624608646252227,0.02625905117139382,ul me tus l' è grand
lm01,sed,179.85056053973216,0.05624608646255069,0.05624608646255069,la sed l' è brüta
lm01,pich,182.694966,0.11488103675907269,0.05656926711083088,l' ass da pich l' è na carta
lm01,tüss,185.82815980715193,0.2551161778835933,0.01293641626864428,a g' ho la tüss
lm01,lagh,187.78790085758897,0.09711479656093047,0.09711479656093047,ul lagh l' è sü
lm01,nas,190.53350602285852,0.1486503713652496,0.11390876556595231,a vighi ul nas
lm01,pich,193.15989057895234,0.18502510268604055,0.01751123844974245,a g' ho dai un pich
