file,token,time,egg_minimum,degg_maximum,degg_minimum
01-breathy,1,0.021282952004586297,0.7181463203240582,0.5680454909111464,0.8334943039652036
01-breathy,1,0.04136931916868414,0.7281895039061071,0.5513724911103993,0.8073948159069241
01-breathy,1,0.06139424011814021,0.7382019643808352,0.5078324697512809,0.7675583540005089
01-breathy,1,0.0813117088300479,0.748160698736789,0.5135594719448164,0.8005945881547937
01-breathy,1,0.09983266440334848,0.7574211765234393,0.5409188789873707,0.8356123446667413
01-breathy,1,0.11886177168009748,0.7669357301618138,0.5261745070268373,0.8157284223980262
01-breathy,1,0.13874536470791288,0.7768775266757215,0.5339501841871616,0.8252453753097755
01-breathy,1,0.15772316084177374,0.786366424742652,0.5270718453672073,0.8287183933593243
01-breathy,1,0.17740594244590424,0.7962078155447172,0.5318391413222145,0.8353550097313371
01-breathy,1,0.1967045912914327,0.8058571399674814,0.5290326398280035,0.8384353231948692
01-breathy,1,0.21602566943653545,0.8155176790400328,0.5265728560602588,0.8247674973050578
01-breathy,1,0.23590691783550266,0.8254583032395164,0.5260181976530095,0.9220263820644184
01-breathy,1,0.2551275407563245,0.8350686146999273,0.5144338338022595,0.8221737502423824
01-breathy,1,0.2753527766254731,0.8451812326345016,0.5083786314872422,0.8301942805968971
01-breathy,1,0.2948576266916485,0.8549336576675893,0.5200020441940468,0.8346929476049866
01-breathy,1,0.3145091297267082,0.8647594091851192,0.5062258579040223,0.7955403934751427
01-breathy,1,0.33534689872566537,0.8751782936845978,0.5000367965584877,0.8218658803634696
01-breathy,1,0.3544159933266562,0.8847128409850932,0.5167486259138897,0.8079262889430553
01-breathy,1,0.374318530959181,0.8946641098013556,0.5183872034763939,0.8267669623588147
01-breathy,1,0.39402995017866216,0.9045198194110962,0.5269690665578414,0.8258602738964129
01-breathy,1,0.41390873213961643,0.9144592103915733,0.5271217519336349,0.8209223195864609
01-breathy,1,0.4341751861630403,0.9245924374032852,0.521633372288414,0.8301983396908648
01-breathy,1,0.45413280152233315,0.9345712450829317,0.5249822269107766,0.8551373084425161
01-breathy,1,0.47451271694361163,0.9447612027935709,0.5416657285030091,0.8428721729558379
01-breathy,1,0.49455510776372225,0.9547823982036262,0.5355861392364432,0.8469762045708363
01-breathy,1,0.5146021052725,0.9648058969580151,0.5364576546688311,0.8245929956003443
01-breathy,1,0.5350807941243212,0.9750452413839257,0.5245863301993569,0.8328505084777698
01-breathy,1,0.5550349511017743,0.9850223198726522,0.5415177645088023,0.8523112571184065
01-breathy,1,0.5752625703078844,0.9951361294757073,0.5529052844345707,0.8937040491772069
01-breathy,1,0.5954131398282696,1.0052114142358999,0.5469653761051677,0.9229976703354235
01-breathy,1,0.6154228421316565,1.0152162653875934,0.5206979372920868,0.8076710857866298
01-breathy,1,0.6361459854094527,1.0255778370264914,0.5230204877526294,0.8339965161391905
01-breathy,1,0.655392294209661,1.0352009914265956,0.5197087514235269,0.8255387203720046
01-breathy,1,0.6753836783918867,1.0451966835177084,0.5093754287320005,0.8122182521411175
01-breathy,1,0.695128437936988,1.055069063290259,0.5067649745225702,0.8266838373534711
01-breathy,1,0.7146421757226173,1.0648259321830738,0.5048999048951003,0.8047397015465015
01-breathy,1,0.7347514781263125,1.0748805833849213,0.5055724885525776,0.829043425210063
01-breathy,1,0.7539955907711007,1.0845026397073154,0.5151395684411381,0.8218400712441833
01-breathy,1,0.7736446511237691,1.0943271698836496,0.5069857983823276,0.8225078917887017
01-breathy,1,0.7933684031349006,1.1041890458892154,0.5045370706472831,0.822111862199098
01-breathy,1,0.8130202868153029,1.1140149877294165,0.4858466193846837,0.8063895452226997
01-breathy,1,0.8333180423320408,1.1241638654877855,0.4955851315842945,0.8364278976187342
01-breathy,1,0.8525502101296474,1.1337799493865888,0.49723833942038687,0.8341709247666952
01-breathy,1,0.8727048327249927,1.1438572606842614,0.4927567441136369,0.8185181799350483
01-breathy,1,0.8920860384436513,1.1535478635435907,0.4874249356317449,0.8151077591856484
01-breathy,1,0.9117556145188677,1.163382651581199,0.48516265195273006,0.8231579789220904
01-breathy,1,0.9314112560381562,1.1732104723408432,0.49819946218965633,0.834386552595768
