sentence,frame,word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
We'll say 'teepus' this Friday,She'll say '{word}' this Sunday,teepus,0,0,0,84,space,1.93632316589,2019_Feb_22_1407,59.75958271058597,english,en06,
You'll say 'terg' this Monday,They'll say '{word}' this Tuesday,terg,0,1,1,33,space,1.73712491989,2019_Feb_22_1407,59.75958271058597,english,en06,
They'll say 'teep' this Tuesday,I'll say '{word}' this Thursday,teep,0,2,2,96,space,3.73742413521,2019_Feb_22_1407,59.75958271058597,english,en06,
I'll say 'teepus' this Thursday,She'll say '{word}' this Sunday,teepus,0,3,3,12,space,1.78687500954,2019_Feb_22_1407,59.75958271058597,english,en06,
She'll say 'tarb' this Sunday,I'll say '{word}' this Thursday,tarb,0,4,4,53,space,1.55310416222,2019_Feb_22_1407,59.75958271058597,english,en06,
We'll say 'tarbus' this Friday,She'll say '{word}' this Sunday,tarbus,0,5,5,89,space,1.56959915161,2019_Feb_22_1407,59.75958271058597,english,en06,
You'll say 'teeg' this Monday,She'll say '{word}' this Sunday,teeg,0,6,6,31,space,1.55127120018,2019_Feb_22_1407,59.75958271058597,english,en06,
They'll say 'teek' this Tuesday,You'll say '{word}' this Monday,teek,0,7,7,102,space,1.58635902405,2019_Feb_22_1407,59.75958271058597,english,en06,
I'll say 'terp' this Thursday,She'll say '{word}' this Sunday,terp,0,8,8,2,space,1.66967201233,2019_Feb_22_1407,59.75958271058597,english,en06,
They'll say 'teepus' this Tuesday,She'll say '{word}' this Sunday,teepus,0,9,9,108,space,8.20621204376,2019_Feb_22_1407,59.75958271058597,english,en06,
You'll say 'teegus' this Monday,They'll say '{word}' this Tuesday,teegus,0,10,10,43,space,1.88700795174,2019_Feb_22_1407,59.75958271058597,english,en06,
We'll say 'tark' this Friday,I'll say '{word}' this Thursday,tark,0,11,11,82,space,2.13750600815,2019_Feb_22_1407,59.75958271058597,english,en06,
They'll say 'teeg' this Tuesday,She'll say '{word}' this Sunday,teeg,0,12,12,103,space,2.05375313759,2019_Feb_22_1407,59.75958271058597,english,en06,
She'll say 'tarpus' this Sunday,You'll say '{word}' this Monday,tarpus,0,13,13,64,space,1.80334401131,2019_Feb_22_1407,59.75958271058597,english,en06,
They'll say 'terb' this Tuesday,We'll say '{word}' this Friday,terb,0,14,14,99,space,1.7537419796,2019_Feb_22_1407,59.75958271058597,english,en06,
She'll say 'teek' this Sunday,You'll say '{word}' this Monday,teek,0,15,15,54,space,3.65449500084,2019_Feb_22_1407,59.75958271058597,english,en06,
She'll say 'tarp' this Sunday,They'll say '{word}' this Tuesday,tarp,0,16,16,52,space,1.9200720787,2019_Feb_22_1407,59.75958271058597,english,en06,
We'll say 'terp' this Friday,She'll say '{word}' this Sunday,terp,0,17,17,74,space,3.77159905434,2019_Feb_22_1407,59.75958271058597,english,en06,
I'll say 'terbus' this Thursday,I'll say '{word}' this Thursday,terbus,0,18,18,15,space,1.85370206833,2019_Feb_22_1407,59.75958271058597,english,en06,
They'll say 'tergus' this Tuesday,You'll say '{word}' this Monday,tergus,0,19,19,117,space,1.87024712563,2019_Feb_22_1407,59.75958271058597,english,en06,
You'll say 'tarb' this Monday,I'll say '{word}' this Thursday,tarb,0,20,20,29,space,1.65385198593,2019_Feb_22_1407,59.75958271058597,english,en06,
She'll say 'tergus' this Sunday,You'll say '{word}' this Monday,tergus,0,21,21,69,space,1.95330810547,2019_Feb_22_1407,59.75958271058597,english,en06,
She'll say 'teeb' this Sunday,You'll say '{word}' this Monday,teeb,0,22,22,49,space,1.93672704697,2019_Feb_22_1407,59.75958271058597,english,en06,
She'll say 'teebus' this Sunday,We'll say '{word}' this Friday,teebus,0,23,23,61,space,1.78694796562,2019_Feb_22_1407,59.75958271058597,english,en06,
We'll say 'tarp' this Friday,They'll say '{word}' this Tuesday,tarp,0,24,24,76,space,1.70328497887,2019_Feb_22_1407,59.75958271058597,english,en06,
We'll say 'terbus' this Friday,I'll say '{word}' this Thursday,terbus,0,25,25,87,space,2.08649992943,2019_Feb_22_1407,59.75958271058597,english,en06,
They'll say 'targus' this Tuesday,We'll say '{word}' this Friday,targus,0,26,26,119,space,2.22031021118,2019_Feb_22_1407,59.75958271058597,english,en06,
She'll say 'teekus' this Sunday,We'll say '{word}' this Friday,teekus,0,27,27,66,space,1.97046208382,2019_Feb_22_1407,59.75958271058597,english,en06,
She'll say 'tarbus' this Sunday,She'll say '{word}' this Sunday,tarbus,0,28,28,65,space,1.61795711517,2019_Feb_22_1407,59.75958271058597,english,en06,
I'll say 'targ' this Thursday,You'll say '{word}' this Monday,targ,0,29,29,11,space,1.88704991341,2019_Feb_22_1407,59.75958271058597,english,en06,
