sentence,frame,word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
They'll say 'tarp' this Tuesday,They'll say '{word}' this Tuesday,tarp,0,0,0,100,space,2.05368304253,2019_Feb_26_1133,59.92256634007378,english,en12,
We'll say 'targus' this Friday,We'll say '{word}' this Friday,targus,0,1,1,95,space,5.73909711838,2019_Feb_26_1133,59.92256634007378,english,en12,
We'll say 'tarkus' this Friday,She'll say '{word}' this Sunday,tarkus,0,2,2,94,space,2.08713316917,2019_Feb_26_1133,59.92256634007378,english,en12,
She'll say 'targus' this Sunday,We'll say '{word}' this Friday,targus,0,3,3,71,space,1.75369000435,2019_Feb_26_1133,59.92256634007378,english,en12,
You'll say 'terp' this Monday,She'll say '{word}' this Sunday,terp,0,4,4,26,space,1.65321993828,2019_Feb_26_1133,59.92256634007378,english,en12,
You'll say 'terpus' this Monday,They'll say '{word}' this Tuesday,terpus,0,5,5,38,space,1.6038479805,2019_Feb_26_1133,59.92256634007378,english,en12,
We'll say 'tarbus' this Friday,She'll say '{word}' this Sunday,tarbus,0,6,6,89,space,1.67016506195,2019_Feb_26_1133,59.92256634007378,english,en12,
They'll say 'terg' this Tuesday,They'll say '{word}' this Tuesday,terg,0,7,7,105,space,1.93695998192,2019_Feb_26_1133,59.92256634007378,english,en12,
You'll say 'tarbus' this Monday,She'll say '{word}' this Sunday,tarbus,0,8,8,41,space,1.70290279388,2019_Feb_26_1133,59.92256634007378,english,en12,
We'll say 'tarp' this Friday,They'll say '{word}' this Tuesday,tarp,0,9,9,76,space,1.5342400074,2019_Feb_26_1133,59.92256634007378,english,en12,
They'll say 'teebus' this Tuesday,We'll say '{word}' this Friday,teebus,0,10,10,109,space,8.53969192505,2019_Feb_26_1133,59.92256634007378,english,en12,
I'll say 'teek' this Thursday,You'll say '{word}' this Monday,teek,0,11,11,6,space,1.88719391823,2019_Feb_26_1133,59.92256634007378,english,en12,
I'll say 'tarbus' this Thursday,She'll say '{word}' this Sunday,tarbus,0,12,12,17,space,1.75320005417,2019_Feb_26_1133,59.92256634007378,english,en12,
She'll say 'terp' this Sunday,She'll say '{word}' this Sunday,terp,0,13,13,50,space,1.70323204994,2019_Feb_26_1133,59.92256634007378,english,en12,
You'll say 'teepus' this Monday,She'll say '{word}' this Sunday,teepus,0,14,14,36,space,1.60287594795,2019_Feb_26_1133,59.92256634007378,english,en12,
I'll say 'tergus' this Thursday,You'll say '{word}' this Monday,tergus,0,15,15,21,space,1.95326590538,2019_Feb_26_1133,59.92256634007378,english,en12,
I'll say 'terg' this Thursday,They'll say '{word}' this Tuesday,terg,0,16,16,9,space,1.95416808128,2019_Feb_26_1133,59.92256634007378,english,en12,
They'll say 'tarkus' this Tuesday,She'll say '{word}' this Sunday,tarkus,0,17,17,118,space,1.70415997505,2019_Feb_26_1133,59.92256634007378,english,en12,
She'll say 'tarp' this Sunday,They'll say '{word}' this Tuesday,tarp,0,18,18,52,space,1.98689484596,2019_Feb_26_1133,59.92256634007378,english,en12,
They'll say 'teepus' this Tuesday,She'll say '{word}' this Sunday,teepus,0,19,19,108,space,2.65385603905,2019_Feb_26_1133,59.92256634007378,english,en12,
I'll say 'terpus' this Thursday,They'll say '{word}' this Tuesday,terpus,0,20,20,14,space,4.43806004524,2019_Feb_26_1133,59.92256634007378,english,en12,
You'll say 'targ' this Monday,You'll say '{word}' this Monday,targ,0,21,21,35,space,1.81983494759,2019_Feb_26_1133,59.92256634007378,english,en12,
You'll say 'teek' this Monday,You'll say '{word}' this Monday,teek,0,22,22,30,space,1.73656606674,2019_Feb_26_1133,59.92256634007378,english,en12,
We'll say 'teekus' this Friday,We'll say '{word}' this Friday,teekus,0,23,23,90,space,1.61975502968,2019_Feb_26_1133,59.92256634007378,english,en12,
I'll say 'terkus' this Thursday,I'll say '{word}' this Thursday,terkus,0,24,24,20,space,1.83692908287,2019_Feb_26_1133,59.92256634007378,english,en12,
