sentence,frame,word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
They'll say 'tarpus' this Tuesday,You'll say '{word}' this Monday,tarpus,0,0,0,112,space,2.27053403854,2019_Feb_22_1032,59.97431901050976,english,en05,
I'll say 'tarp' this Thursday,They'll say '{word}' this Tuesday,tarp,0,1,1,4,space,1.986358881,2019_Feb_22_1032,59.97431901050976,english,en05,
They'll say 'targus' this Tuesday,We'll say '{word}' this Friday,targus,0,2,2,119,space,2.11993193626,2019_Feb_22_1032,59.97431901050976,english,en05,
We'll say 'terkus' this Friday,I'll say '{word}' this Thursday,terkus,0,3,3,92,space,2.12051320076,2019_Feb_22_1032,59.97431901050976,english,en05,
She'll say 'teekus' this Sunday,We'll say '{word}' this Friday,teekus,0,4,4,66,space,1.98737215996,2019_Feb_22_1032,59.97431901050976,english,en05,
They'll say 'teebus' this Tuesday,We'll say '{word}' this Friday,teebus,0,5,5,109,space,5.35560488701,2019_Feb_22_1032,59.97431901050976,english,en05,
I'll say 'tark' this Thursday,I'll say '{word}' this Thursday,tark,0,6,6,10,space,1.78663706779,2019_Feb_22_1032,59.97431901050976,english,en05,
We'll say 'targ' this Friday,You'll say '{word}' this Monday,targ,0,7,7,83,space,1.73722290993,2019_Feb_22_1032,59.97431901050976,english,en05,
I'll say 'terbus' this Thursday,I'll say '{word}' this Thursday,terbus,0,8,8,15,space,5.07126688957,2019_Feb_22_1032,59.97431901050976,english,en05,
They'll say 'teeg' this Tuesday,She'll say '{word}' this Sunday,teeg,0,9,9,103,space,2.66989803314,2019_Feb_22_1032,59.97431901050976,english,en05,
We'll say 'targus' this Friday,We'll say '{word}' this Friday,targus,0,10,10,95,space,1.88741898537,2019_Feb_22_1032,59.97431901050976,english,en05,
She'll say 'teepus' this Sunday,She'll say '{word}' this Sunday,teepus,0,11,11,60,space,1.90367102623,2019_Feb_22_1032,59.97431901050976,english,en05,
You'll say 'teep' this Monday,I'll say '{word}' this Thursday,teep,0,12,12,24,space,1.67039394379,2019_Feb_22_1032,59.97431901050976,english,en05,
You'll say 'tergus' this Monday,You'll say '{word}' this Monday,tergus,0,13,13,45,space,1.80297780037,2019_Feb_22_1032,59.97431901050976,english,en05,
You'll say 'teekus' this Monday,We'll say '{word}' this Friday,teekus,0,14,14,42,space,4.90532803535,2019_Feb_22_1032,59.97431901050976,english,en05,
They'll say 'teek' this Tuesday,You'll say '{word}' this Monday,teek,0,15,15,102,space,1.77035999298,2019_Feb_22_1032,59.97431901050976,english,en05,
They'll say 'teegus' this Tuesday,They'll say '{word}' this Tuesday,teegus,0,16,16,115,space,2.00351214409,2019_Feb_22_1032,59.97431901050976,english,en05,
They'll say 'teekus' this Tuesday,We'll say '{word}' this Friday,teekus,0,17,17,114,space,2.08368682861,2019_Feb_22_1032,59.97431901050976,english,en05,
They'll say 'teepus' this Tuesday,She'll say '{word}' this Sunday,teepus,0,18,18,108,space,1.90406107903,2019_Feb_22_1032,59.97431901050976,english,en05,
She'll say 'tarpus' this Sunday,You'll say '{word}' this Monday,tarpus,0,19,19,64,space,2.12010598183,2019_Feb_22_1032,59.97431901050976,english,en05,
She'll say 'tarp' this Sunday,They'll say '{word}' this Tuesday,tarp,0,20,20,52,space,1.93687200546,2019_Feb_22_1032,59.97431901050976,english,en05,
We'll say 'tarbus' this Friday,She'll say '{word}' this Sunday,tarbus,0,21,21,89,space,2.2016479969,2019_Feb_22_1032,59.97431901050976,english,en05,
She'll say 'tark' this Sunday,I'll say '{word}' this Thursday,tark,0,22,22,58,space,1.95342993736,2019_Feb_22_1032,59.97431901050976,english,en05,
We'll say 'terbus' this Friday,I'll say '{word}' this Thursday,terbus,0,23,23,87,space,2.23723697662,2019_Feb_22_1032,59.97431901050976,english,en05,
We'll say 'tark' this Friday,I'll say '{word}' this Thursday,tark,0,24,24,82,space,2.05356693268,2019_Feb_22_1032,59.97431901050976,english,en05,
They'll say 'teeb' this Tuesday,You'll say '{word}' this Monday,teeb,0,25,25,97,space,2.1873459816,2019_Feb_22_1032,59.97431901050976,english,en05,
She'll say 'terb' this Sunday,We'll say '{word}' this Friday,terb,0,26,26,51,space,2.17055702209,2019_Feb_22_1032,59.97431901050976,english,en05,
She'll say 'tarkus' this Sunday,She'll say '{word}' this Sunday,tarkus,0,27,27,70,space,2.08718800545,2019_Feb_22_1032,59.97431901050976,english,en05,
She'll say 'terk' this Sunday,We'll say '{word}' this Friday,terk,0,28,28,56,space,1.90401792526,2019_Feb_22_1032,59.97431901050976,english,en05,
I'll say 'teep' this Thursday,I'll say '{word}' this Thursday,teep,0,29,29,0,space,2.22071099281,2019_Feb_22_1032,59.97431901050976,english,en05,
She'll say 'targ' this Sunday,You'll say '{word}' this Monday,targ,0,30,30,59,space,1.80332803726,2019_Feb_22_1032,59.97431901050976,english,en05,
We'll say 'terk' this Friday,We'll say '{word}' this Friday,terk,0,31,31,80,space,2.00373196602,2019_Feb_22_1032,59.97431901050976,english,en05,
She'll say 'teep' this Sunday,I'll say '{word}' this Thursday,teep,0,32,32,48,space,1.78711819649,2019_Feb_22_1032,59.97431901050976,english,en05,
We'll say 'terg' this Friday,They'll say '{word}' this Tuesday,terg,0,33,33,81,space,1.78470993042,2019_Feb_22_1032,59.97431901050976,english,en05,
She'll say 'terg' this Sunday,They'll say '{word}' this Tuesday,terg,0,34,34,57,space,2.03712916374,2019_Feb_22_1032,59.97431901050976,english,en05,
We'll say 'teek' this Friday,You'll say '{word}' this Monday,teek,0,35,35,78,space,1.86757493019,2019_Feb_22_1032,59.97431901050976,english,en05,
