sentence,frame,word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
You'll say 'teekus' this Monday,We'll say '{word}' this Friday,teekus,0,0,0,42,space,2.35215997696,2019_Feb_20_1335,60.01250527611049,english,en003,
She'll say 'teepus' this Sunday,She'll say '{word}' this Sunday,teepus,0,1,1,60,space,2.08631300926,2019_Feb_20_1335,60.01250527611049,english,en003,
You'll say 'teep' this Monday,I'll say '{word}' this Thursday,teep,0,2,2,24,space,1.82005000114,2019_Feb_20_1335,60.01250527611049,english,en003,
She'll say 'teekus' this Sunday,We'll say '{word}' this Friday,teekus,0,3,3,66,space,2.0201048851,2019_Feb_20_1335,60.01250527611049,english,en003,
She'll say 'teegus' this Sunday,They'll say '{word}' this Tuesday,teegus,0,4,4,67,space,1.93711185455,2019_Feb_20_1335,60.01250527611049,english,en003,
You'll say 'targus' this Monday,We'll say '{word}' this Friday,targus,0,5,5,47,space,1.90293884277,2019_Feb_20_1335,60.01250527611049,english,en003,
She'll say 'targus' this Sunday,We'll say '{word}' this Friday,targus,0,6,6,71,space,1.68647384644,2019_Feb_20_1335,60.01250527611049,english,en003,
I'll say 'terg' this Thursday,They'll say '{word}' this Tuesday,terg,0,7,7,9,space,1.7696352005,2019_Feb_20_1335,60.01250527611049,english,en003,
They'll say 'teek' this Tuesday,You'll say '{word}' this Monday,teek,0,8,8,102,space,1.77002286911,2019_Feb_20_1335,60.01250527611049,english,en003,
I'll say 'teegus' this Thursday,They'll say '{word}' this Tuesday,teegus,0,9,9,19,space,1.98629498482,2019_Feb_20_1335,60.01250527611049,english,en003,
We'll say 'terk' this Friday,We'll say '{word}' this Friday,terk,0,10,10,80,space,1.8369410038,2019_Feb_20_1335,60.01250527611049,english,en003,
She'll say 'terkus' this Sunday,I'll say '{word}' this Thursday,terkus,0,11,11,68,space,1.95399403572,2019_Feb_20_1335,60.01250527611049,english,en003,
She'll say 'tarp' this Sunday,They'll say '{word}' this Tuesday,tarp,0,12,12,52,space,1.90103387833,2019_Feb_20_1335,60.01250527611049,english,en003,
We'll say 'teep' this Friday,I'll say '{word}' this Thursday,teep,0,13,13,72,space,1.75360298157,2019_Feb_20_1335,60.01250527611049,english,en003,
She'll say 'teep' this Sunday,I'll say '{word}' this Thursday,teep,0,14,14,48,space,1.8206140995,2019_Feb_20_1335,60.01250527611049,english,en003,
She'll say 'terg' this Sunday,They'll say '{word}' this Tuesday,terg,0,15,15,57,space,1.80173420906,2019_Feb_20_1335,60.01250527611049,english,en003,
They'll say 'tark' this Tuesday,I'll say '{word}' this Thursday,tark,0,16,16,106,space,1.82053184509,2019_Feb_20_1335,60.01250527611049,english,en003,
We'll say 'terg' this Friday,They'll say '{word}' this Tuesday,terg,0,17,17,81,space,1.88608288765,2019_Feb_20_1335,60.01250527611049,english,en003,
I'll say 'terp' this Thursday,She'll say '{word}' this Sunday,terp,0,18,18,2,space,1.83644008636,2019_Feb_20_1335,60.01250527611049,english,en003,
They'll say 'tarkus' this Tuesday,She'll say '{word}' this Sunday,tarkus,0,19,19,118,space,2.28726506233,2019_Feb_20_1335,60.01250527611049,english,en003,
I'll say 'terk' this Thursday,We'll say '{word}' this Friday,terk,0,20,20,8,space,1.82019901276,2019_Feb_20_1335,60.01250527611049,english,en003,
We'll say 'terkus' this Friday,I'll say '{word}' this Thursday,terkus,0,21,21,92,space,2.03727579117,2019_Feb_20_1335,60.01250527611049,english,en003,
We'll say 'terbus' this Friday,I'll say '{word}' this Thursday,terbus,0,22,22,87,space,2.06795787811,2019_Feb_20_1335,60.01250527611049,english,en003,
We'll say 'tarp' this Friday,They'll say '{word}' this Tuesday,tarp,0,23,23,76,space,1.77005982399,2019_Feb_20_1335,60.01250527611049,english,en003,
We'll say 'terpus' this Friday,They'll say '{word}' this Tuesday,terpus,0,24,24,86,space,1.93694400787,2019_Feb_20_1335,60.01250527611049,english,en003,
We'll say 'tarbus' this Friday,She'll say '{word}' this Sunday,tarbus,0,25,25,89,space,1.82052898407,2019_Feb_20_1335,60.01250527611049,english,en003,
She'll say 'tark' this Sunday,I'll say '{word}' this Thursday,tark,0,26,26,58,space,1.9036359787,2019_Feb_20_1335,60.01250527611049,english,en003,
