sentence,frame,word,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,participant,date,expName,psychopyVersion,frameRate,
They'll say 'tarb' this Tuesday,I'll say '{word}' this Thursday,tarb,0,0,0,101,space,2.1263688660001208,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'tarbus' this Thursday,She'll say '{word}' this Sunday,tarbus,0,1,1,17,space,2.0936578969999573,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'teepus' this Friday,She'll say '{word}' this Sunday,teepus,0,2,2,84,space,2.026286804999927,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'teek' this Friday,You'll say '{word}' this Monday,teek,0,3,3,78,space,1.8247120360001645,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'terk' this Thursday,We'll say '{word}' this Friday,terk,0,4,4,8,space,2.04272601699995,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'teegus' this Sunday,They'll say '{word}' this Tuesday,teegus,0,5,5,67,space,2.106107737000002,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'tarkus' this Thursday,She'll say '{word}' this Sunday,tarkus,0,6,6,22,space,1.959325232000083,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'teeg' this Monday,She'll say '{word}' this Sunday,teeg,0,7,7,31,space,1.6917726379997475,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'teek' this Monday,You'll say '{word}' this Monday,teek,0,8,8,30,space,1.6252492800003893,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'targ' this Tuesday,You'll say '{word}' this Monday,targ,0,9,9,107,space,1.8753426439998293,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'teek' this Thursday,You'll say '{word}' this Monday,teek,0,10,10,6,space,1.8250861100000293,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'teep' this Tuesday,I'll say '{word}' this Thursday,teep,0,11,11,96,space,4.431459112000084,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'teeb' this Friday,You'll say '{word}' this Monday,teeb,0,12,12,73,space,1.6075036189999992,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'teekus' this Friday,We'll say '{word}' this Friday,teekus,0,13,13,90,space,1.755214480000177,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'teeb' this Tuesday,You'll say '{word}' this Monday,teeb,0,14,14,97,space,1.7253382339999916,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'tark' this Tuesday,I'll say '{word}' this Thursday,tark,0,15,15,106,space,1.6919677450000563,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
They'll say 'teek' this Tuesday,You'll say '{word}' this Monday,teek,0,16,16,102,space,1.8250626839999313,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'tergus' this Monday,You'll say '{word}' this Monday,tergus,0,17,17,45,space,1.909506552000039,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
I'll say 'tarpus' this Thursday,You'll say '{word}' this Monday,tarpus,0,18,18,16,space,1.7916391640001166,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'terb' this Monday,We'll say '{word}' this Friday,terb,0,19,19,27,space,1.6753887830000167,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'teebus' this Monday,We'll say '{word}' this Friday,teebus,0,20,20,37,space,2.159839060000195,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
You'll say 'teeb' this Monday,You'll say '{word}' this Monday,teeb,0,21,21,25,space,1.8054456119998576,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
We'll say 'terg' this Friday,They'll say '{word}' this Tuesday,terg,0,22,22,81,space,1.7925983330001145,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
She'll say 'terkus' this Sunday,I'll say '{word}' this Thursday,terkus,0,23,23,68,space,1.775699958000132,en15,2019_Mar_01_1344,english,3.0.5,59.893429703920305,
