speaker,file,date,word,time,rel.time,proportion,maximum,minimum
pl02,pl02-001,07/02/2017 16:21:26,pata,1.333057388262755,0.005635801629526371,0.06635307634181356,0.5258465077128232,0.8339863628216213
pl02,pl02-001,07/02/2017 16:21:26,pata,1.3375986254903969,0.010177038857168252,0.11981930532924699,0.3587651214015548,0.8033693868753664
pl02,pl02-001,07/02/2017 16:21:26,pata,1.3417505213421699,0.014328934708941254,0.16870162598663768,0.31287178600596655,0.7952234911685787
pl02,pl02-001,07/02/2017 16:21:26,pata,1.3456926006613548,0.018271014028126142,0.21511367296873513,0.28201176542287226,0.7846862492898714
pl02,pl02-001,07/02/2017 16:21:26,pata,1.3496943461942619,0.02227275956103325,0.26222819975661493,0.26427994284661877,0.7372572630766949
pl02,pl02-001,07/02/2017 16:21:26,pata,1.3536597925971157,0.02623820596388704,0.3089153589567232,0.2452426197451998,0.7489432450893293
pl02,pl02-001,07/02/2017 16:21:26,pata,1.357676023179722,0.030254436546493402,0.35620042538948227,0.2185637178167602,0.6843598606004712
pl02,pl02-001,07/02/2017 16:21:26,pata,1.3616211680938823,0.034199581460653716,0.40264856513545055,0.2141214363102664,0.6821980187801673
pl02,pl02-001,07/02/2017 16:21:26,pata,1.3655459760325457,0.03812438939931706,0.44885726762361294,0.22910735085563202,0.6881582831931943
pl02,pl02-001,07/02/2017 16:21:26,pata,1.3695624772906472,0.04214089065741855,0.49614552085267405,0.20524351025142076,0.6915912136624254
pl02,pl02-001,07/02/2017 16:21:26,pata,1.373606669025546,0.046185082392317334,0.5437597877425507,0.19516434562458876,0.6542598558178362
pl02,pl02-001,07/02/2017 16:21:26,pata,1.3775531397364733,0.050131553103244686,0.5902235367487236,0.2021513211248989,0.6671713186009284
pl02,pl02-001,07/02/2017 16:21:26,pata,1.3815707121890843,0.054149125555855715,0.6375244016798532,0.19241766245707626,0.6831766293755962
pl02,pl02-001,07/02/2017 16:21:26,pata,1.3854977901677972,0.05807620353456855,0.6837598304707857,0.21641956691035205,0.6931846000027797
pl02,pl02-001,07/02/2017 16:21:26,pata,1.3895189049272056,0.06209731829397702,0.7311024007295346,0.22909678444856807,0.6926359517040089
pl02,pl02-001,07/02/2017 16:21:26,pata,1.3935611288456646,0.06613954221243601,0.7786934995444789,0.24480044809865997,0.6752500550902525
pl02,pl02-001,07/02/2017 16:21:26,pata,1.397541212053349,0.0701196254201204,0.825552985077586,0.2643832843662944,0.6838565479831447
pl02,pl02-001,07/02/2017 16:21:26,pata,1.401562522043295,0.07414093541006639,0.8728978538818856,0.2666824305008403,0.7229060407129826
pl02,pl02-001,07/02/2017 16:21:26,pata,1.4056796074931535,0.07825802085992484,0.9213703344832274,0.28255031499120925,0.7486020872896632
pl02,pl02-002,07/02/2017 16:21:33,puku,1.3703151727940324,0.0021745696194288566,0.03624282699048118,0.4574615984475871,0.7577651991162226
pl02,pl02-002,07/02/2017 16:21:33,puku,1.3756651608473642,0.007524557672760723,0.12540929454601288,0.14475100794443624,0.730794063450134
pl02,pl02-002,07/02/2017 16:21:33,puku,1.379529759337314,0.011389156162710412,0.1898192693785081,0.19437273161121948,0.6971603226896552
pl02,pl02-002,07/02/2017 16:21:33,puku,1.3832938163914434,0.015153213216839934,0.25255355361400056,0.1965205507396099,0.6902199799697075
pl02,pl02-002,07/02/2017 16:21:33,puku,1.387120504287053,0.018979901112449404,0.3163316852074921,0.20365724993197198,0.6973981901388594
pl02,pl02-002,07/02/2017 16:21:33,puku,1.3909656597884434,0.022825056613839934,0.38041761023066806,0.19239869161057094,0.7072611418000915
pl02,pl02-002,07/02/2017 16:21:33,puku,1.3948562874800563,0.02671568430545279,0.44526140509088274,0.1990438960205548,0.6882881149338266
pl02,pl02-002,07/02/2017 16:21:33,puku,1.3987018382429137,0.03056123506831021,0.5093539178051735,0.20501801904072897,0.7116893191061685
pl02,pl02-002,07/02/2017 16:21:33,puku,1.40258864534609,0.03444804217148656,0.5741340361914464,0.19646931195652398,0.703646586918089
pl02,pl02-002,07/02/2017 16:21:33,puku,1.4065591708349368,0.03841856766033325,0.6403094610055583,0.21274282793470012,0.7024096857256926
pl02,pl02-002,07/02/2017 16:21:33,puku,1.410616606379543,0.04247600320493938,0.7079333867489943,0.22626056505860714,0.6912855613109989
pl02,pl02-002,07/02/2017 16:21:33,puku,1.4146960745163473,0.04655547134174376,0.7759245223624011,0.22947867450677084,0.7007372682162052
pl02,pl02-002,07/02/2017 16:21:33,puku,1.4189220555767772,0.05078145240217369,0.8463575400362336,0.23919675387997053,0.7050175909484259
pl02,pl02-003,07/02/2017 16:21:39,pogo,1.1803682161324738,0.005203843238707595,0.059890691670373496,0.4390964593758109,0.7692063507085187
pl02,pl02-003,07/02/2017 16:21:39,pogo,1.185586216691329,0.010421843797562724,0.11994431901289174,0.2509750745367099,0.6958281020955419
pl02,pl02-003,07/02/2017 16:21:39,pogo,1.1893637710004832,0.014199398106716998,0.16341994462644066,0.265315013854244,0.6522643253691806
pl02,pl02-003,07/02/2017 16:21:39,pogo,1.1932399763582846,0.01807560346451842,0.20803093871026518,0.26609958238120207,0.6240179833062179
pl02,pl02-003,07/02/2017 16:21:39,pogo,1.1970291390147894,0.02186476612102317,0.25164016403465833,0.27832494829473314,0.6042174169472163
pl02,pl02-003,07/02/2017 16:21:39,pogo,1.2009591350607454,0.02579476216697918,0.2968702316322737,0.27187531640141677,0.635243645660738
pl02,pl02-003,07/02/2017 16:21:39,pogo,1.2046994563161009,0.029535083422334685,0.33991734446349636,0.28968399678365764,0.6495232562155037
