index,speaker,file,rec.date,word,voicing.start,voicing.end,voicing.duration,sentence.duration
1,pl02,pl02-001,07/02/2017 16:21:26,pata,1.314512528263682,1.4278414697307116,113.32894146702954,0.9299769999999999
2,pl02,pl02-002,07/02/2017 16:21:33,puku,1.37227539284835,1.4418089803099001,69.53358746155014,1.0099770000000001
3,pl02,pl02-003,07/02/2017 16:21:39,pogo,1.1822129755355673,1.4088026836843355,226.5897081487682,0.8649890000000005
4,pl02,pl02-004,07/02/2017 16:21:44,paka,1.4453509547670655,1.5357869063948528,90.43595162778728,0.9770446293561612
5,pl02,pl02-005,07/02/2017 16:21:50,poto,1.380279913155495,1.4878875065043362,107.60759334884118,1.009977000000001
6,pl02,pl02-006,07/02/2017 16:21:55,pugu,1.372725554760238,1.5975619543495136,224.83639958927571,1.084942999999999
7,pl02,pl02-007,07/02/2017 16:22:00,podo,1.3541637656026613,1.6314187503535398,277.2549847508785,1.0550109999999968
8,pl02,pl02-008,07/02/2017 16:22:05,putu,1.3354339461676183,1.4503070164000218,114.87307023240345,1.029207029186825
9,pl02,pl02-009,07/02/2017 16:22:10,poko,1.3370080251557745,1.4419198427558062,104.91181760003165,1.1525827648269384
10,pl02,pl02-010,07/02/2017 16:22:16,pada,1.2881358922952526,1.5741120663484283,285.97617405317567,0.9899319999999996
11,pl02,pl02-011,07/02/2017 16:22:21,pudu,1.343165061004385,1.5737191827893264,230.5541217849414,1.0599539999999976
12,pl02,pl02-012,07/02/2017 16:22:26,paga,0.965409508102349,1.2140455011028,248.63599300045092,0.9799539999999993
13,pl02,pl02-013,07/02/2017 16:22:55,pata,1.1645652714847101,1.2608359373007116,96.27066581600153,0.9400000000000013
14,pl02,pl02-014,07/02/2017 16:23:00,puku,1.2802283884840826,1.3468516212905415,66.62323280645887,1.0099770000000063
15,pl02,pl02-015,07/02/2017 16:23:05,pogo,1.5064387124561565,1.7430023196582767,236.5636072021202,1.0499769999999984
16,pl02,pl02-016,07/02/2017 16:23:11,paka,1.3153253783166472,1.4371505553712531,121.82517705460594,1.019999999999996
17,pl02,pl02-017,07/02/2017 16:23:16,poto,1.2954684840102968,1.4003838881334834,104.91540412318656,0.980000000000004
18,pl02,pl02-018,07/02/2017 16:23:22,pugu,1.3254815279847725,1.5503918694382737,224.9103414535012,1.0350120000000018
19,pl02,pl02-019,07/02/2017 16:23:27,podo,1.3363850253803218,1.545243256609613,208.85823122929125,1.0149660000000011
