speaker,file,date,word,time,rel.time,proportion,maximum,minimum
bc05,bc05-001,26/05/2017 18:28:59,pata,1.4407581789818649,0.02080317898186479,0.23114643313183136,0.27190057007780577,0.8581068820426528
bc05,bc05-001,26/05/2017 18:28:59,pata,1.447345086049274,0.027390086049273954,0.30433428943637775,0.2700447344971531,0.8512596650475969
bc05,bc05-001,26/05/2017 18:28:59,pata,1.4542217573038838,0.03426675730388373,0.38074174782093095,0.2558156574252877,0.8476927345898099
bc05,bc05-001,26/05/2017 18:28:59,pata,1.4610262814239394,0.04107128142393934,0.4563475713771045,0.25105953923122665,0.7562699125899466
bc05,bc05-001,26/05/2017 18:28:59,pata,1.4677489277017641,0.04779392770176405,0.5310436411307125,0.26129613070229424,0.726470764058993
bc05,bc05-001,26/05/2017 18:28:59,pata,1.4746024833257727,0.05464748332577263,0.6071942591752524,0.2679673060945494,0.7154956941289101
bc05,bc05-001,26/05/2017 18:28:59,pata,1.4815225345380694,0.06156753453806929,0.6840837170896599,0.2670253823348533,0.7427447020484502
bc05,bc05-002,26/05/2017 18:29:03,paga,1.2164977902294343,0.018697323109253094,0.15581102591044232,0.2737706021065993,0.7617899792780302
bc05,bc05-002,26/05/2017 18:29:03,paga,1.2227232086369795,0.024922741516798297,0.2076895126399856,0.26185403431220716,0.7241343207815114
bc05,bc05-002,26/05/2017 18:29:03,paga,1.2292699878664417,0.031469520746260526,0.2622460062188375,0.2463992231999415,0.7507574542314575
bc05,bc05-002,26/05/2017 18:29:03,paga,1.2356510216694556,0.03785055454927444,0.3154212879106201,0.23081902969656456,0.7368027941153964
bc05,bc05-002,26/05/2017 18:29:03,paga,1.2423332552918536,0.04453278817167239,0.37110656809726955,0.21067318288436046,0.7319126300835296
bc05,bc05-002,26/05/2017 18:29:03,paga,1.2487163264996353,0.05091585937945409,0.424298828162117,0.22894462051737405,0.7410032590495597
bc05,bc05-002,26/05/2017 18:29:03,paga,1.255334040525398,0.05753357340521692,0.4794464450434739,0.22172548906375977,0.7659962696141415
bc05,bc05-002,26/05/2017 18:29:03,paga,1.26187401964649,0.06407355252630875,0.5339462710525724,0.22125344845453482,0.7518588537847317
bc05,bc05-002,26/05/2017 18:29:03,paga,1.268549642695019,0.07074917557483773,0.5895764631236472,0.21713036387120296,0.7490416427735028
bc05,bc05-002,26/05/2017 18:29:03,paga,1.275296479286863,0.0774960121666819,0.6458001013890152,0.21135887162418057,0.7452356454730964
bc05,bc05-002,26/05/2017 18:29:03,paga,1.2818743787748401,0.08407391165465894,0.7006159304554905,0.2334780014028317,0.7770326148471465
bc05,bc05-002,26/05/2017 18:29:03,paga,1.2885581716579253,0.09075770453774412,0.7563142044812003,0.2441241256380099,0.8262466520431302
bc05,bc05-003,26/05/2017 18:29:07,puku,1.212803964048361,0.01767923388963122,0.29465389816051785,0.3348924062257516,0.8666391524586375
bc05,bc05-003,26/05/2017 18:29:07,puku,1.218901060010849,0.023776329852119193,0.39627216420198325,0.33300180740244495,0.8663151627391168
bc05,bc05-003,26/05/2017 18:29:07,puku,1.225022409829334,0.029897679670604305,0.49829466117673427,0.32918320680838764,0.8619626396984582
bc05,bc05-003,26/05/2017 18:29:07,puku,1.2312342875933737,0.036109557434643946,0.6018259572440607,0.33445487392624795,0.8592235809935717
bc05,bc05-004,26/05/2017 18:29:11,poto,1.4528127005331624,0.021656548605725856,0.1804712383810473,0.26845584686957513,0.8558602874142088
bc05,bc05-004,26/05/2017 18:29:11,poto,1.4593518845816362,0.028195732654199723,0.23496443878499573,0.27048480587744894,0.8750773649012556
bc05,bc05-004,26/05/2017 18:29:11,poto,1.4659226986697165,0.03476654674227997,0.28972122285233065,0.2707617717531937,0.8688093921405466
bc05,bc05-004,26/05/2017 18:29:11,poto,1.4725204589212009,0.041364306993764366,0.34470255828136687,0.2630821572128443,0.8449868341770771
bc05,bc05-004,26/05/2017 18:29:11,poto,1.4792539406584506,0.04809778873101411,0.40081490609178094,0.26739955338618443,0.8545960460278247
bc05,bc05-004,26/05/2017 18:29:11,poto,1.485788933079983,0.05463278115254644,0.45527317627121655,0.2786476693655003,0.8564382795957989
bc05,bc05-004,26/05/2017 18:29:11,poto,1.4923828328129523,0.06122668088551575,0.5102223407126271,0.2911539244594827,0.8479132117611712
bc05,bc05-004,26/05/2017 18:29:11,poto,1.4988285065602125,0.06767235463277599,0.5639362886064619,0.30042073278184844,0.8313209224462583
bc05,bc05-004,26/05/2017 18:29:11,poto,1.5054230195705973,0.07426686764316082,0.6188905636930017,0.313742530431692,0.8277132414248188
bc05,bc05-004,26/05/2017 18:29:11,poto,1.511941644283469,0.0807854923560325,0.6732124363002652,0.38170030305557645,0.8593453272663225
bc05,bc05-005,26/05/2017 18:29:14,pudu,1.3099959589657628,0.017433249215196733,0.1452770767933049,0.3392225158303898,0.8720806809186887
bc05,bc05-005,26/05/2017 18:29:14,pudu,1.3161028158029524,0.023540106052386323,0.19616755043655107,0.32320159385968394,0.8661470875645837
bc05,bc05-005,26/05/2017 18:29:14,pudu,1.3222252717985428,0.02966256204797668,0.2471880170664703,0.31007033354931984,0.8748180824619963
bc05,bc05-005,26/05/2017 18:29:14,pudu,1.3282839232751318,0.0357212135245657,0.2976767793713784,0.3061122012457707,0.881316877359712
bc05,bc05-005,26/05/2017 18:29:14,pudu,1.3343142196970414,0.04175150994647536,0.3479292495539585,0.3014681710932982,0.8739978666917451
bc05,bc05-005,26/05/2017 18:29:14,pudu,1.3404715215863898,0.04790881183582374,0.39924009863186116,0.2901924578239552,0.8837473393481151
