speaker,word,target,max,release,voff,voffr
SDC02,poto,1.477999,1.5055,1.556999,--undefined--,0
SDC02,bucu,1.298,1.3105,1.334999,--undefined--,0
SDC02,putu,1.338,1.359499,1.401999,1.280056845069748,121.94215493025196
SDC02,bugu,1.270999,1.2815,1.294999,1.2023444545040656,92.65454549593444
SDC02,pada,--undefined--,1.1835,1.189999,--undefined--,0
SDC02,boto,1.572999,1.597499,1.633,--undefined--,0
SDC02,poco,1.568,1.5805,1.600999,1.5573045920521653,43.69440794783475
SDC02,bodo,1.530999,1.546499,1.596999,--undefined--,0
SDC02,pucu,1.554,1.567499,1.584999,1.462107370170609,122.89162982939095
SDC02,budu,1.572999,1.589499,1.655,--undefined--,0
SDC02,bata,1.489,1.4955,1.566999,1.3804420687814443,186.55693121855577
SDC02,paga,1.604999,1.6165,1.624,--undefined--,0
SDC02,pugu,--undefined--,1.288499,1.304,--undefined--,0
SDC02,butu,1.368999,1.3945,1.433999,--undefined--,0
SDC02,baca,1.477,1.490499,1.506999,1.4161120107628526,90.88698923714733
SDC02,bogo,1.411,1.431499,1.467,--undefined--,0
SDC02,podo,1.439999,1.4575,1.483999,--undefined--,0
SDC02,bada,1.481,1.4835,1.514,--undefined--,0
SDC02,boco,1.554,1.571499,1.582999,1.4832438025511163,99.75519744888372
SDC02,pata,1.358999,1.375499,1.419,1.2972912671258143,121.70873287418571
SDC02,pogo,1.622,1.635499,1.649,--undefined--,0
SDC02,paca,1.475999,1.486499,1.506,1.4187684602573685,87.23153974263154
SDC02,pudu,1.278,1.2995,1.334,--undefined--,0
SDC02,baga,1.437999,1.450499,1.461999,--undefined--,0
SDC02,poto,1.310999,1.3305,1.381,1.2546034607625367,126.3965392374633
SDC02,bucu,1.399999,1.409499,1.423999,1.3519563361922078,72.04266380779222
SDC02,putu,1.28,1.304499,1.354,--undefined--,0
SDC02,bugu,1.624,1.635499,1.643,--undefined--,0
SDC02,pada,1.389999,1.409499,1.451,--undefined--,0
SDC02,boto,1.405999,1.442499,1.510999,1.3596303969169221,151.36860308307786
SDC02,poco,1.328,1.343499,1.364,1.2625724914199101,101.42750858008998
SDC02,bodo,1.53,1.5435,1.594,--undefined--,0
SDC02,pucu,1.504,1.516499,1.528,1.4607468259529222,67.25317404707786
SDC02,budu,1.195999,1.2135,1.258,--undefined--,0
SDC02,bata,1.427,1.456499,1.491,1.3703273770789013,120.67262292109882
SDC02,paga,1.266,1.2775,1.296,--undefined--,0
