index,speaker,word,time,word.duration,vowel.duration,closure.duration,rvt,consonant.duration,sentence.duration
1,SC01,pugu,1.350023,409.99999999999994,95.23720162874638,58.36012695337778,26.62385026084224,84.98397721422002,1.6349200000000002
2,SC01,pada,3.964943,360.00000000000034,138.96844304339862,67.88341473179128,7.297508395036623,75.1809231268279,1.5950119999999997
3,SC01,poco,6.450023,400.00000000000034,126.93225540365293,53.65173042898963,49.41601416735786,103.0677445963475,1.6599089999999999
4,SC01,pata,9.14,399.9999999999986,127.49888328847803,81.97840095690978,18.02159904309164,100.00000000000142,1.5899319999999992
5,SC01,boco,11.83,390.00000000000057,132.3331028787518,61.62323746060672,46.04365966064172,107.66689712124844,1.579955
6,SC01,podo,14.664966,380.0000000000008,125.2486738898071,49.08781490225422,20.91218509774606,70.00000000000028,1.58
7,SC01,boto,17.494966,389.99999999999704,134.10905510228943,76.52751713530392,32.381395530556745,108.90891266586067,1.5849890000000002
8,SC01,paca,20.034989,359.99999999999943,118.56017914839967,60.517213607717224,31.166065854861813,91.68327946257904,1.584942999999999
9,SC01,bodo,22.634989,359.99999999999943,130.22183611381877,--undefined--,--undefined--,--undefined--,1.519954000000002
10,SC01,pucu,25.144966,429.9999999999997,99.12408420603924,64.22421934486522,59.40799443392564,123.63221377879086,1.614965999999999
11,SC01,paga,27.935011,350.0000000000014,139.9398835849972,53.5564303034235,12.653145973807511,66.20957627723101,1.5849440000000001
12,SC01,bada,30.625011,370.000000000001,140.00000000000057,71.37629684182656,8.623703158171736,79.9999999999983,1.5849440000000001
13,SC01,bogo,33.485011,380.00000000000256,137.35512878641742,62.55118725924547,10.093683954337962,72.64487121358343,1.5699320000000014
14,SC01,putu,36.319955,399.9999999999986,110.78561493421546,75.28968604829345,15.896106273416422,91.18579232170987,1.5949659999999994
15,SC01,bata,39.015011,379.99999999999545,130.00000000000256,87.83139122409267,12.168608775908751,100.00000000000142,1.5499320000000054
16,SC01,bucu,41.494966,399.9999999999986,105.92659673534399,64.07831336393599,45.39894436610581,109.4772577300418,1.469932
17,SC01,baca,44.370023,379.99999999999545,140.86287298953692,58.114920359784605,41.02220665068046,99.13712701046506,1.5999089999999967
18,SC01,butu,47.134989,410.0000000000037,125.36266953081565,74.95547369859423,4.139455821437821,79.09492952003205,1.5399540000000016
19,SC01,bugu,49.944989,420.0000000000017,119.53184769217984,64.84547380230765,9.000627291527508,73.84610109383516,1.6049429999999987
20,SC01,pudu,52.600023,399.9999999999986,114.67282949330837,--undefined--,--undefined--,--undefined--,1.634875000000001
21,SC01,baga,55.434989,339.9999999999963,138.4308343598093,49.668249582992985,11.900916057200561,61.569165640193546,1.5599539999999976
22,SC01,pogo,58.204989,380.00000000000256,128.30104529314212,61.538581643333146,10.160373063520467,71.69895470685361,1.5949659999999994
23,SC01,budu,61.084989,399.9999999999986,132.16529500923713,60.92938601415199,5.890200856441652,66.81958687059364,1.6199089999999998
24,SC01,poto,64.010023,399.9999999999915,135.08047504728893,68.69338236737121,25.758915862397203,94.45229822976842,1.654875000000004
25,SC01,pugu,67.284943,400.0000000000057,97.6910348473865,59.08133593426612,33.2276292183451,92.30896515261122,1.5599550000000022
26,SC01,pada,69.614989,370.00000000000455,137.99581808640937,--undefined--,--undefined--,--undefined--,1.5549659999999932
27,SC01,poco,71.999955,390.00000000000057,118.81839648194159,62.36859901262903,48.813004505433355,111.18160351806239,1.5900219999999905
28,SC01,pata,74.62,379.99999999999545,125.02709372688514,81.70166095320042,3.2712453199224,84.97290627312282,1.6299319999999966
29,SC01,boco,77.060023,400.0000000000057,121.64632806232589,66.06469858105868,32.28897335661429,98.35367193767297,1.6199089999999927
30,SC01,podo,79.584943,380.00000000000966,131.19320733567008,59.3530010199288,5.81238626678271,65.1653872867115,1.5800459999999958
31,SC01,boto,82.449955,379.99999999999545,125.93836827370808,76.6403823624131,27.421249363882794,104.0616317262959,1.5999999999999943
32,SC01,paca,85.12,369.99999999999034,121.47519197746703,46.232636000908656,44.861944501420226,91.09458050232888,1.5849430000000098
33,SC01,bodo,87.899955,359.99999999999943,140.69879624172188,50.659005528004286,12.217196288702326,62.87620181670661,1.5750110000000035
34,SC01,pucu,90.649977,389.99999999998636,103.01096279688693,36.26888060672684,51.043540171804125,87.31242077853096,1.5999549999999942
35,SC01,paga,93.49,350.0000000000085,150.00000000000568,38.411994993950316,21.588005006051958,60.000000000002274,1.519954999999996
36,SC01,bada,96.085011,370.00000000000455,130.00000000000966,--undefined--,--undefined--,--undefined--,1.5949659999999994
37,SC01,bogo,98.760023,390.00000000000057,143.0526856289447,52.27775582547167,14.669558545591599,66.94731437106327,1.6099320000000006
38,SC01,putu,101.284989,400.0000000000057,112.20597216467354,76.09509732192521,3.9049026780730856,79.9999999999983,1.5499319999999983
39,SC01,bata,103.924989,370.00000000000455,123.07930024151403,82.1768514545198,8.701248486843838,90.87809994136364,1.5799540000000007
40,SC01,bucu,106.394966,400.0000000000057,104.95456586853891,67.26766060891975,36.36054851877191,103.62820912769166,1.5699769999999944
41,SC01,baca,108.989955,380.00000000000966,128.60215990838242,44.734551426799385,46.66328866481706,91.39784009161644,1.5849879999999956
42,SC01,butu,111.524989,439.9999999999977,135.08041347894562,64.4180746603098,8.703516251188148,73.12159091149795,1.5299320000000023
43,SC01,bugu,114.074989,409.9999999999966,119.53158890584348,58.03755995853521,24.169986429811274,82.20754638834649,1.5799540000000007
44,SC01,pudu,116.889977,409.9999999999966,121.47519197746703,52.740276656905394,8.404389573271942,61.144666230177336,1.5949209999999994
