index,speaker,file,rec.date,word,voicing.start,voicing.end,voicing.duration,sentence.duration
1,ps02,ps02-001,07/02/2017 16:21:26,pata,0.9713725187848344,1.2478495815466994,276.477062761865,0.9299769999999999
2,ps02,ps02-002,07/02/2017 16:21:33,puku,0.9272276812490033,1.2533978026120385,326.17012136303515,1.0099770000000001
3,ps02,ps02-003,07/02/2017 16:21:39,pogo,0.7704460623299781,1.074948335008551,304.50227267857275,0.8649890000000005
4,ps02,ps02-004,07/02/2017 16:21:44,paka,0.9650881628798266,1.2701758532748513,305.0876903950247,0.9770446293561612
5,ps02,ps02-005,07/02/2017 16:21:50,poto,0.9612547559962634,1.2797965715251811,318.5418155289177,1.009977000000001
6,ps02,ps02-006,07/02/2017 16:21:55,pugu,0.9121509343439043,1.2443841423432271,332.2332079993229,1.084942999999999
7,ps02,ps02-007,07/02/2017 16:22:00,podo,0.9116019240342558,1.2240783628790932,312.47643884483745,1.0550109999999968
8,ps02,ps02-008,07/02/2017 16:22:05,putu,0.9088139433161383,1.20385230662092,295.0383633047816,1.029207029186825
9,ps02,ps02-009,07/02/2017 16:22:10,poko,0.9668859479340772,1.244247867832341,277.36191989826375,1.1525827648269384
10,ps02,ps02-010,07/02/2017 16:22:16,pada,0.9073653123084802,1.214146642791839,306.7813304833589,0.9899319999999996
11,ps02,ps02-011,07/02/2017 16:22:21,pudu,0.8575310531462416,1.2108749481810988,353.3438950348572,1.0599539999999976
12,ps02,ps02-012,07/02/2017 16:22:26,paga,0.5837394419343958,0.8824936872014895,298.7542452670937,0.9799539999999993
13,ps02,ps02-013,07/02/2017 16:22:55,pata,0.7943312382517074,1.098779480655618,304.44824240391057,0.9400000000000013
14,ps02,ps02-014,07/02/2017 16:23:00,puku,0.8454946894492272,1.160757555003749,315.26286555452174,1.0099770000000063
15,ps02,ps02-015,07/02/2017 16:23:05,pogo,1.0684028253149038,1.3937550392202853,325.3522139053815,1.0499769999999984
16,ps02,ps02-016,07/02/2017 16:23:11,paka,0.922843684196872,1.227418274402977,304.5745902061049,1.019999999999996
17,ps02,ps02-017,07/02/2017 16:23:16,poto,0.8922484346429713,1.1906035359825058,298.3551013395345,0.980000000000004
18,ps02,ps02-018,07/02/2017 16:23:22,pugu,0.8746119637149914,1.1917798296869644,317.167865971973,1.0350120000000018
19,ps02,ps02-019,07/02/2017 16:23:27,podo,0.8780245095865448,1.186229537622255,308.20502803571014,1.0149660000000011
20,ps02,ps02-020,07/02/2017 16:23:32,putu,0.8425747362695639,1.1369737533304196,294.39901706085567,0.9949660000000051
21,ps02,ps02-021,07/02/2017 16:23:37,poko,0.8104944376285522,1.1115284496041018,301.03401197554956,1.0150110000000012
22,ps02,ps02-022,07/02/2017 16:23:42,pada,0.6528354249151136,0.9567321263964664,303.89670148135286,0.9300230000000056
23,ps02,ps02-023,07/02/2017 16:23:47,pudu,0.6260372928309388,0.939826581260092,313.7892884291532,1.0049879999999973
24,ps02,ps02-024,07/02/2017 16:23:51,paga,0.8356274306988881,1.1296954172916691,294.067986592781,0.9599550000000008
25,ps02,ps02-025,07/02/2017 16:24:39,pata,1.251093555832432,1.5060791075509943,254.9855517185622,0.9299770000000009
26,ps02,ps02-026,07/02/2017 16:24:44,puku,0.7387712505044646,0.913831940527858,175.06069002339342,1.1000000000000014
27,ps02,ps02-027,07/02/2017 16:24:49,pogo,0.612961407522832,0.8981495368176249,285.1881292947929,0.995010999999991
28,ps02,ps02-028,07/02/2017 16:24:54,paka,0.7504922240476427,1.0301625837182644,279.6703596706217,1.0149199999999894
29,ps02,ps02-029,07/02/2017 16:24:59,poto,0.6569656459863652,1.0104837103611612,353.51806437479604,1.0284974335572912
30,ps02,ps02-030,07/02/2017 16:25:04,pugu,0.709560714592105,0.913948503379833,204.387788787728,1.0550110000000075
31,ps02,ps02-031,07/02/2017 16:25:09,podo,0.7433653374135427,1.0381237842464843,294.7584468329416,0.9550109999999989
32,ps02,ps02-032,07/02/2017 16:25:14,putu,0.7856327500928786,1.072468163440443,286.8354133475643,1
33,ps02,ps02-033,07/02/2017 16:25:19,poko,0.7738710084016917,1.0688737084067572,295.00270000506555,0.9500230000000016
34,ps02,ps02-034,07/02/2017 16:25:24,pada,0.6291216562097919,0.9108214959486814,281.6998397388896,0.9499780000000015
35,ps02,ps02-035,07/02/2017 16:25:28,pudu,0.6919526309216588,1.0138228021830054,321.8701712613465,0.9949660000000051
36,ps02,ps02-036,07/02/2017 16:25:33,paga,0.6119583309980171,0.8555221944322424,243.5638634342253,0.9500220000000041
37,ps02,ps02-037,07/02/2017 16:25:49,pata,0.8235918646312159,1.124174559158169,300.58269452695316,0.9049890000000005
38,ps02,ps02-038,07/02/2017 16:25:54,puku,0.7089455765401046,0.9994631589577262,290.5175824176216,1.0299770000000024
39,ps02,ps02-039,07/02/2017 16:25:59,pogo,0.73023488680938,1.0229579041252088,292.7230173158288,1.0349659999999972
40,ps02,ps02-040,07/02/2017 16:26:04,paka,0.786040622596063,0.9259166976280068,139.87607503194377,0.9849889999999988
41,ps02,ps02-041,07/02/2017 16:26:10,poto,0.9431631040062104,1.26525496130456,322.0918572983497,1.0349659999999972
42,ps02,ps02-042,07/02/2017 16:26:15,pugu,0.9740695247498132,1.2367186719024599,262.64914715264666,0.9699770000000001
43,ps02,ps02-043,07/02/2017 16:26:21,podo,1.1936859727944849,1.483507809166607,289.8218363721221,0.9384265517421397
44,ps02,ps02-044,07/02/2017 16:26:26,putu,1.0749876338845303,1.4006497819141137,325.66214802958336,1.0449880000000036
