index,speaker,word,duration,sentence
1,SDC02,pugu,89.93497451804645,1.635011
2,SDC02,butu,134.65477621908573,1.6649890000000003
3,SDC02,baca,183.49743690351872,1.8249440000000012
4,SDC02,bogo,192.13820602419318,1.8249440000000003
5,SDC02,podo,161.50736155354826,1.8399550000000016
6,SDC02,bada,192.14405896948605,1.7649429999999988
7,SDC02,boco,154.9166321145634,1.644988999999999
8,SDC02,pata,160.00000000000014,1.7199999999999989
9,SDC02,pogo,207.80042152971134,1.9249880000000026
10,SDC02,paca,172.66079092826914,1.8749660000000006
11,SDC02,pudu,162.7452322025391,1.9399999999999977
12,SDC02,baga,200.00000000000284,1.9299779999999984
13,SDC02,poto,146.29142477303247,1.8549659999999975
14,SDC02,bucu,139.6418145560716,1.8899770000000018
15,SDC02,putu,142.74704372439828,2.0099769999999992
16,SDC02,bugu,119.69298390520322,1.8100219999999965
17,SDC02,pada,212.51042983669066,1.7499770000000012
18,SDC02,boto,192.20510022043413,2.009931999999999
19,SDC02,poco,162.91545031542398,2.0499769999999984
20,SDC02,bodo,219.9836335390657,1.9150109999999998
21,SDC02,pucu,120.0877685734838,1.9199540000000042
22,SDC02,budu,172.88979002141502,1.955010999999999
23,SDC02,bata,160.0000000000108,1.7750120000000038
24,SDC02,paga,209.99999999999375,1.9449890000000067
25,SDC02,pugu,150.47967117445182,1.9499780000000015
26,SDC02,butu,150.00000000000568,1.8649879999999968
27,SDC02,baca,173.92924673450239,1.9349660000000029
28,SDC02,bogo,221.37581940667417,2.0299770000000024
29,SDC02,podo,191.7749348445028,2.0049430000000115
30,SDC02,bada,213.65393362418672,1.9350120000000004
31,SDC02,boco,229.7296239126041,2.239999999999995
32,SDC02,pata,165.6163693488395,1.8249880000000047
33,SDC02,pogo,210.00000000000796,1.9200000000000017
34,SDC02,paca,163.50554849366006,1.714966000000004
35,SDC02,pudu,165.71217061036236,1.9049879999999888
36,SDC02,baga,189.99999999999773,1.9049890000000005
37,SDC02,poto,169.56498636716333,1.9200000000000017
38,SDC02,bucu,114.70572607190377,1.8849890000000045
39,SDC02,putu,109.71852059051912,1.949977000000004
40,SDC02,bugu,137.97935165170827,1.9100219999999979
41,SDC02,pada,211.12500895965525,1.8899770000000018
42,SDC02,boto,143.4328991458358,1.9349660000000029
43,SDC02,poco,136.31681567281362,1.9250339999999824
44,SDC02,bodo,190.81929905817674,2.169932000000017
45,SDC02,pucu,86.28714908411439,1.8849889999999903
46,SDC02,budu,139.64161605505865,2.015010999999987
47,SDC02,bata,177.14984153818136,1.9449889999999925
48,SDC02,paga,177.18422732161798,1.929977000000008
49,SDC02,pugu,111.98182364904596,1.8600000000000136
50,SDC02,butu,139.99999999998636,1.8999550000000056
51,SDC02,baca,147.95361701072807,1.759999999999991
52,SDC02,bogo,193.52962751750624,2.054965999999979
53,SDC02,podo,185.801003186441,1.9400000000000261
54,SDC02,bada,189.99999999999773,1.8800000000000239
55,SDC02,boco,146.49995465248367,1.8599999999999852
56,SDC02,pata,157.8600953097009,1.8249879999999905
57,SDC02,pogo,205.2831007878808,2.1200000000000045
58,SDC02,paca,168.4325069450665,1.8599999999999852
59,SDC02,pudu,134.54917801956867,1.7900229999999908
60,SDC02,baga,210.00000000000796,1.9399999999999977
61,SDC02,poto,161.25281853976503,2.0099770000000206
62,SDC02,bucu,136.44534889721172,1.9249440000000106
63,SDC02,putu,137.9792158639077,1.9150120000000186
64,SDC02,bugu,140.00000000001478,2.1200000000000045
65,SDC02,pada,207.80002389145125,1.9799540000000206
66,SDC02,boto,150.11978248156765,1.9499769999999899
67,SDC02,poco,154.0429307800082,1.990021999999982
68,SDC02,bodo,205.2737892508958,2.83492099999998
69,SDC02,pucu,124.83179676075906,1.9349210000000028
70,SDC02,budu,159.08625559717393,1.969932
71,SDC02,bata,169.9999999999875,2.0199549999999817
72,SDC02,paga,220.00000000002728,2.0099770000000206
73,SDC02,pugu,99.99999999999432,1.63496600000002
74,SDC02,butu,136.50954176773666,1.744989000000004
75,SDC02,baca,157.92801815752,1.6949659999999938
76,SDC02,bogo,180.00000000000682,1.6999549999999886
77,SDC02,podo,192.83842217126335,1.7899769999999933
78,SDC02,bada,199.99999999998863,1.729976999999991
79,SDC02,boco,133.64558639895563,1.7100230000000067
80,SDC02,pata,171.8366314198363,1.7800000000000011
81,SDC02,pogo,159.9999999999966,1.7899779999999907
82,SDC02,paca,147.95361701072807,1.7649890000000141
83,SDC02,pudu,154.60321777524655,1.809978000000001
84,SDC02,baga,189.99999999999773,1.7749660000000063
85,SDC02,poto,154.60315015400283,1.7349659999999858
86,SDC02,bucu,137.97913288254904,1.7449439999999754
87,SDC02,putu,113.0431450121705,1.7049890000000119
88,SDC02,bugu,147.44262185593016,1.7549660000000245
89,SDC02,pada,180.98314037348473,1.7600000000000477
90,SDC02,boto,155.4266664552415,1.8099770000000035
91,SDC02,poco,147.95352803065498,1.7199999999999704
92,SDC02,bodo,203.12594483056046,1.7649890000000141
93,SDC02,pucu,139.64153207382424,1.9300220000000081
94,SDC02,budu,139.64153207382424,1.9550110000000132
95,SDC02,bata,194.5007053886343,2.004942999999969
96,SDC02,paga,200.00000000004547,1.920000000000016
97,SDC02,pugu,109.9999999999568,1.7349659999999858
98,SDC02,butu,138.51341756492275,1.7300219999999626
99,SDC02,baca,145.56574786575993,1.5849880000000098
100,SDC02,bogo,189.99999999999773,1.7649889999999573
101,SDC02,podo,176.20374277368,1.7750120000000038
102,SDC02,bada,212.5393337698256,1.7449880000000348
103,SDC02,boco,133.15396341988617,1.759999999999991
