speaker,file,word,time,rel.time,proportion,maximum,minimum
ps02,ps02-001,pata,1.3456925717604467,0.01827098512721803,0.08468262418666968,0.2820198645366335,0.784694436053359
ps02,ps02-001,pata,1.3496943108592445,0.022272724226015894,0.10322994201529515,0.26428720357321783,0.7372612998851406
ps02,ps02-001,pata,1.353659785493154,0.0262381988599254,0.12160918078140215,0.24524453481210648,0.748944969892583
ps02,ps02-001,pata,1.3576760127131875,0.030254426079958874,0.14022364836233836,0.21856667299844496,0.6843634471356821
ps02,ps02-001,pata,1.361621151074982,0.03419956444175343,0.15850863228247633,0.2141249478546514,0.6822002268783469
ps02,ps02-001,pata,1.3655459753505717,0.03812438871734303,0.17669946418421947,0.22910803857378362,0.6881608740131812
ps02,ps02-001,pata,1.3695624657376386,0.04214087910441,0.19531515149550088,0.20524580799299869,0.6915935376194379
ps02,ps02-001,pata,1.373606666932394,0.04618508029916546,0.21405927325610474,0.19516529953110104,0.654261234880449
ps02,ps02-001,pata,1.3775531295915417,0.050131542958313124,0.23235039504862803,0.20215338026907675,0.6671712033192426
ps02,ps02-001,pata,1.3815707102523285,0.05414912361909985,0.25097113557619893,0.1924180667971564,0.6831763873399659
ps02,ps02-001,pata,1.3854977900202812,0.05807620338705255,0.269172421266329,0.21641958606269995,0.693183954579545
ps02,ps02-001,pata,1.3895189046251515,0.06209731799192286,0.28780954096867584,0.22909706692667253,0.6926368681705455
ps02,ps02-001,pata,1.3935611254986304,0.0661395388654018,0.3065444843077956,0.24480114497678374,0.6752490527002817
ps02,ps02-001,pata,1.3975412108739016,0.07011962424067297,0.32499144114773404,0.2643835584009147,0.6838587181191353
ps02,ps02-001,pata,1.4015625211877678,0.07414093455453918,0.3436294679249449,0.2666825157138229,0.7229060819779062
ps02,ps02-001,pata,1.4056796087445897,0.07825802211136113,0.362711404442894,0.2825501841419689,0.7486021603623941
ps02,ps02-001,pata,1.409788505243822,0.08236691861059331,0.38175537692952594,0.37973822405053104,0.8595388854660768
ps02,ps02-001,pata,1.4138563938002626,0.086434807167034,0.40060928521415123,0.34415568235705946,0.9881687132592009
ps02,ps02-001,pata,1.4180181481096679,0.09059656147643924,0.4198982438382601,0.4038482474698483,0.9759583426464583
ps02,ps02-001,pata,1.5033808481009985,0.17595926146776986,0.8155385113220714,0.3182472997199586,0.8278193794103166
ps02,ps02-001,pata,1.5064860902757218,0.17906450364249316,0.8299307323358669,0.38806211433161436,0.7772324597420023
ps02,ps02-001,pata,1.51253199171292,0.18511040507969145,0.8579523631188297,0.16866974144756794,0.7327431690942479
ps02,ps02-001,pata,1.5172520881783702,0.18983050154514158,0.8798291339839703,0.15204208462517677,0.710566597567619
ps02,ps02-001,pata,1.5220438480558327,0.19462226142260408,0.9020380514599874,0.16058102059852636,0.6911273013888056
ps02,ps02-002,puku,1.3832937977291744,0.01515319455457087,0.06061277821828348,0.1965260433078422,0.6902285288858993
ps02,ps02-002,puku,1.3871204605510765,0.01897985737647301,0.07591942950589203,0.20366750950164333,0.6974057331039576
ps02,ps02-002,puku,1.390965636324833,0.022825033150229546,0.09130013260091818,0.1924040326136584,0.7072631253847953
ps02,ps02-002,puku,1.394856278436295,0.026715675261691496,0.10686270104676598,0.19904655904744115,0.6882938588201256
ps02,ps02-002,puku,1.3987018141450902,0.030561210970486696,0.12224484388194679,0.20502311995002948,0.7116921731361795
ps02,ps02-002,puku,1.4025886428056804,0.0344480396310769,0.1377921585243076,0.19646964578484577,0.7036454562658304
ps02,ps02-002,puku,1.4065591752802542,0.038418572105650695,0.15367428842260278,0.2127423715775759,0.7024103542429625
ps02,ps02-002,puku,1.4106165991825743,0.04247599600797081,0.16990398403188323,0.22626201525762857,0.69128815239452
ps02,ps02-002,puku,1.414696071083611,0.04655546790900744,0.18622187163602977,0.229479573538688,0.7007398740367287
ps02,ps02-002,puku,1.4189220519645032,0.05078144878989965,0.2031257951595986,0.2391974664278729,0.7050187374863899
ps02,ps02-002,puku,1.4231588428124207,0.05501823963781716,0.22007295855126863,0.29904816402975914,0.743924446941893
ps02,ps02-002,puku,1.4275525642535012,0.05941196107889768,0.23764784431559072,0.39102718067813086,0.8363733016930165
ps02,ps02-002,puku,1.431775416615969,0.06363481344136557,0.25453925376546227,0.4209746080892204,0.987344024065078
ps02,ps02-002,puku,1.4356691694168577,0.06752856624225423,0.2701142649690169,0.40676707942774304,0.8141607310221007
ps02,ps02-002,puku,1.4407575076133508,0.07261690443874724,0.29046761775498897,0.3168141773971262,0.615467313983018
ps02,ps02-002,puku,1.5254308390022675,0.157290235827664,0.629160943310656,0.36922300926262314,0.9924312780275256
ps02,ps02-002,puku,1.5304668480921462,0.16232624491754266,0.6493049796701706,0.1498481409015111,0.629637368899916
ps02,ps02-002,puku,1.534122744519527,0.1659821413449234,0.6639285653796936,0.20166576880416678,0.7034969316871565
ps02,ps02-002,puku,1.539423449116167,0.1712828459415634,0.6851313837662536,0.1903698683642497,0.6906329144072122
ps02,ps02-002,puku,1.5441356842394498,0.1759950810648463,0.7039803242593852,0.21177421065565247,0.6901459649609124
ps02,ps02-002,puku,1.5490823890175696,0.18094178584296605,0.7237671433718642,0.2143483573653225,0.7090158292458248
ps02,ps02-002,puku,1.554050692975077,0.18591008980047352,0.7436403592018941,0.219049987487369,0.6928708821084703
ps02,ps02-002,puku,1.55918012630323,0.1910395231286266,0.7641580925145064,0.21258268069358477,0.6842952451465649
ps02,ps02-002,puku,1.5642378042235916,0.1960972010489881,0.7843888041959524,0.22211905000091248,0.6754921180627147
ps02,ps02-002,puku,1.5692338130476344,0.20109320987303092,0.8043728394921237,0.22879487672459065,0.6779079028175119
ps02,ps02-002,puku,1.5743254921294008,0.20618488895479725,0.824739555819189,0.2307036911727073,0.6909699379549131
ps02,ps02-002,puku,1.5793144596753248,0.2111738565007213,0.8446954260028852,0.24230473142538742,0.6756542211085725
ps02,ps02-002,puku,1.5844926543824034,0.21635205120779988,0.8654082048311995,0.26649522201562026,0.736693334936532
ps02,ps02-002,puku,1.5896272935302214,0.22148669035561785,0.8859467614224714,0.4272843785740423,0.7962154562551536
ps02,ps02-002,puku,1.5947701649653316,0.22662956179072813,0.9065182471629125,0.3772276523100069,0.9913019052777367
ps02,ps02-003,pogo,1.1932399550832986,0.018075582189532424,0.08156269494866966,0.26610660634035854,0.6240272295929731
