index,speaker,file,word,voicing
1,SC01,SC01-001,pugu,100.75461257525032
1,SC01,SC01-002,pada,111.72373468950792
1,SC01,SC01-003,poco,92.99556800906184
1,SC01,SC01-004,pata,106.16719820834453
1,SC01,SC01-005,boco,154.63563132072144
1,SC01,SC01-006,podo,173.09176891086875
1,SC01,SC01-007,boto,97.13617427604959
1,SC01,SC01-008,paca,178.03997790689087
1,SC01,SC01-009,bodo,157.63406717085815
1,SC01,SC01-010,pucu,142.20235089766197
1,SC01,SC01-011,paga,102.81226561676039
1,SC01,SC01-012,bada,84.48647061652437
1,SC01,SC01-013,bogo,100.7168124035368
1,SC01,SC01-014,putu,194.48860597233852
1,SC01,SC01-015,bata,93.83888804909158
1,SC01,SC01-016,bucu,101.57712930657625
1,SC01,SC01-017,baca,158.19479157075733
1,SC01,SC01-018,butu,100.81261824596854
1,SC01,SC01-019,bugu,175.16672341360896
1,SC01,SC01-020,pudu,99.19537484019347
1,SC01,SC01-021,baga,161.22263958669015
1,SC01,SC01-022,pogo,115.74309754151557
1,SC01,SC01-023,budu,145.23288495496178
1,SC01,SC01-024,poto,98.63669339207736
1,SC01,SC01-025,pugu,166.628378090818
1,SC01,SC01-026,pada,150.60147060972616
1,SC01,SC01-027,poco,107.55331835269033
1,SC01,SC01-028,pata,99.07651338858247
1,SC01,SC01-029,boco,110.6064453442036
1,SC01,SC01-030,podo,98.94057403197465
1,SC01,SC01-031,boto,99.63900504619173
1,SC01,SC01-032,paca,92.35635031699752
1,SC01,SC01-033,bodo,139.97843398676048
1,SC01,SC01-034,pucu,86.65130436616886
1,SC01,SC01-035,paga,83.92925483264824
1,SC01,SC01-036,bada,168.9010084911685
1,SC01,SC01-037,bogo,96.11069559531582
1,SC01,SC01-038,putu,90.48829463739317
1,SC01,SC01-039,bata,84.73658860685617
1,SC01,SC01-040,bucu,153.64117935523382
1,SC01,SC01-041,baca,92.14295759905345
1,SC01,SC01-042,butu,87.61091424943812
1,SC01,SC01-043,bugu,82.7452003549537
1,SC01,SC01-044,pudu,88.40455495556986
1,SC01,SC01-045,baga,91.24596036284183
1,SC01,SC01-046,pogo,170.2846947849199
1,SC01,SC01-047,budu,159.2872088546755
1,SC01,SC01-048,poto,89.792523208593
1,SC01,SC01-049,pugu,86.52870339403384
1,SC01,SC01-050,pada,99.89799377452412
1,SC01,SC01-051,poco,160.83834937851748
1,SC01,SC01-052,pata,108.30268628981
1,SC01,SC01-053,boco,137.66539278767053
1,SC01,SC01-054,podo,98.49538857922724
1,SC01,SC01-055,boto,162.6563282845438
1,SC01,SC01-056,paca,95.7034965334157
1,SC01,SC01-057,bodo,108.6351828751222
1,SC01,SC01-058,pucu,151.41042747073075
1,SC01,SC01-059,paga,96.07144362713494
1,SC01,SC01-060,bada,144.8845687187371
1,SC01,SC01-061,bogo,139.84167105647504
1,SC01,SC01-062,putu,150.826860958716
1,SC01,SC01-063,bata,94.55680106536502
1,SC01,SC01-064,bucu,83.29651458448728
