speaker,file,word,time,rel.time,proportion,maximum,minimum
SDC02,SDC02-001,pugu,1.8333806200408713,0.013448620040871218,0.04803078586025438,0.3618585828090318,0.8210849109921712
SDC02,SDC02-001,pugu,1.839466302974953,0.019534302974952844,0.06976536776768878,0.3682748531105299,0.8219822321138256
SDC02,SDC02-001,pugu,1.8456498305601612,0.02571783056016108,0.09184939485771822,0.36347018541645754,0.8120109562909792
SDC02,SDC02-001,pugu,1.85176536663927,0.03183336663926983,0.11369059514024948,0.3626870191999113,0.8255764879003186
SDC02,SDC02-001,pugu,1.8577987415053356,0.03786674150533553,0.13523836251905558,0.35903700975760566,0.800295126354949
SDC02,SDC02-001,pugu,1.8638606774143833,0.04392867741438322,0.15688813362279733,0.35528484864346344,0.783108105233201
SDC02,SDC02-001,pugu,1.8698515547951462,0.04991955479514609,0.17828412426837903,0.3560921501283202,0.8108021038758809
SDC02,SDC02-001,pugu,1.8758027011768872,0.05587070117688708,0.1995382184888826,0.3608083224081192,0.8114702908347365
SDC02,SDC02-001,pugu,1.8817702267979857,0.06183822679798556,0.22085080999280574,0.36642693275694693,0.8113084662629156
SDC02,SDC02-001,pugu,1.887636796575826,0.06770479657582595,0.2418028449136643,0.3596921760618955,0.7655227380092844
SDC02,SDC02-001,pugu,1.8936980556283438,0.07376605562834371,0.2634501986726563,0.3511127741004997,0.7604501660862012
SDC02,SDC02-001,pugu,1.89955421296373,0.07962221296372984,0.28436504629903536,0.351651788406711,0.7629619875751791
SDC02,SDC02-001,pugu,1.9053495799237963,0.08541757992379617,0.3050627854421294,0.3464840016617006,0.7641566305176917
SDC02,SDC02-001,pugu,1.911218978564558,0.09128697856455781,0.32602492344484957,0.3326953834624293,0.7502856550021794
SDC02,SDC02-001,pugu,1.9170874409930305,0.09715544099303042,0.34698371783225174,0.3311583155301917,0.7634172145165182
SDC02,SDC02-001,pugu,1.9228556812242157,0.10292368122421558,0.3675845758007702,0.3489714387263104,0.7762525169241707
SDC02,SDC02-001,pugu,1.9287862287407747,0.10885422874077455,0.38876510264562364,0.3779984807851839,0.785439469516047
SDC02,SDC02-001,pugu,1.9348788240280714,0.11494682402807133,0.4105243715288264,0.3670967743638182,0.7466418668101397
SDC02,SDC02-001,pugu,1.9413742139768095,0.12144221397680943,0.4337221927743197,0.35853259847293184,0.7557107980914702
SDC02,SDC02-001,pugu,1.947431160183656,0.12749916018365592,0.4553541435130572,0.3872267996626421,0.7654899447495637
SDC02,SDC02-001,pugu,1.9538101050758567,0.13387810507585662,0.4781360895566311,0.3951862925967853,0.7682589838354322
SDC02,SDC02-001,pugu,1.9601366077983364,0.14020460779833632,0.5007307421369158,0.4037486983417223,0.771422434644492
SDC02,SDC02-001,pugu,1.966626318378414,0.14669431837841396,0.5239082799229073,0.4104559519980672,0.7665495821458804
SDC02,SDC02-001,pugu,1.972983595577677,0.153051595577677,0.5466128413488468,0.40735771686284716,0.7666908525134724
SDC02,SDC02-001,pugu,1.9794479669115936,0.15951596691159353,0.5696998818271202,0.3867994939943383,0.7509150291946941
SDC02,SDC02-001,pugu,1.9858110467705528,0.16587904677055265,0.5924251670376884,0.36497873877670944,0.7612027948451734
SDC02,SDC02-001,pugu,1.9920311583532757,0.1720991583532756,0.6146398512616991,0.3641044031000169,0.7546797117412885
SDC02,SDC02-001,pugu,1.9979617170410338,0.17802971704103365,0.635820418003692,0.35069197271807656,0.7696064257018551
SDC02,SDC02-001,pugu,2.0038717237196395,0.1839397237196394,0.6569275847129983,0.3631498068508751,0.7446877200670349
SDC02,SDC02-001,pugu,2.0095729033688787,0.18964090336887862,0.6772889406031384,0.3512715974017421,0.7450605912373899
SDC02,SDC02-001,pugu,2.0154042471907396,0.19547224719073952,0.698115168538356,0.34456913969982994,0.7647573397820044
SDC02,SDC02-001,pugu,2.0211205377299057,0.20118853772990564,0.7185304918925206,0.37717318826275575,0.7647602405169615
SDC02,SDC02-001,pugu,2.026895619990378,0.2069636199903777,0.7391557856799209,0.38067168088194997,0.7825774577922593
SDC02,SDC02-001,pugu,2.0327249904076985,0.2127929904076984,0.7599749657417805,0.37616678391902586,0.7449035413494907
SDC02,SDC02-001,pugu,2.0386038055412556,0.21867180554125554,0.7809707340759132,0.3637098488016426,0.7484187538344932
SDC02,SDC02-001,pugu,2.044541683258976,0.22460968325897568,0.802177440210628,0.37970566265201244,0.7620073447100126
SDC02,SDC02-001,pugu,2.0502641057799686,0.23033210577996854,0.8226146634998882,0.39708649192118195,0.778057521706208
SDC02,SDC02-001,pugu,2.056134734329497,0.2362027343294968,0.8435811940339177,0.39763724154332264,0.7710636815793575
SDC02,SDC02-001,pugu,2.0621218574224294,0.24218985742242927,0.8649637765086765,0.39992038350521864,0.7702630336512497
SDC02,SDC02-001,pugu,2.067898826648961,0.24796682664896075,0.8855958094605747,0.4124806272034295,0.8036440996709543
SDC02,SDC02-001,pugu,2.07378378020754,0.25385178020753996,0.9066135007412147,0.4184325617275272,0.7999349567159773
SDC02,SDC02-001,pugu,2.0796826191246085,0.2597506191246084,0.9276807825878878,0.4003682514109371,0.7768593411095813
SDC02,SDC02-002,butu,0.945183506171985,0.01645928107394179,0.05247166438594301,0.38318446151992036,0.8030938096076569
SDC02,SDC02-002,butu,0.9518486389072679,0.023124413809224698,0.07371989548439711,0.37371972309741675,0.8152098200701642
SDC02,SDC02-002,butu,0.9582150769318035,0.029490851833760323,0.09401589734842852,0.38382749330071,0.8280356896427679
