index,speaker,file,rec.date,word,voicing.start,voicing.end,voicing.duration,sentence.duration
1,sdc02,sdc02-001,12/12/2016 14:42:09,pugu,1.8043625766400166,2.3283832108841445,524.0206342441278,1.635011
2,sdc02,sdc02-002,12/12/2016 14:42:18,butu,0.7628191707469811,1.1040505126372966,341.23134189031543,1.6649890000000003
3,sdc02,sdc02-003,12/12/2016 14:42:26,baca,0.7997456239108603,1.1511325159582022,351.38689204734186,1.8249440000000012
4,sdc02,sdc02-004,12/12/2016 14:42:33,bogo,1.0760309844012597,1.7127630750685758,636.7320906673161,1.8249440000000003
5,sdc02,sdc02-005,12/12/2016 14:42:43,podo,1.095552496170426,1.6564254281427637,560.8729319723378,1.8399550000000016
6,sdc02,sdc02-006,12/12/2016 14:42:52,bada,0.984980341859885,1.7422574751940838,757.2771333341988,1.7649429999999988
7,sdc02,sdc02-007,12/12/2016 14:44:06,boco,1.6583683495360186,1.8056111485485804,147.24279901256176,1.644988999999999
8,sdc02,sdc02-008,12/12/2016 14:44:12,pata,1.2720102878413824,1.4451071294809945,173.09684163961214,1.7199999999999989
9,sdc02,sdc02-009,12/12/2016 14:44:17,pogo,1.3412552551687704,1.8189962571156986,477.7410019469281,1.9249880000000026
10,sdc02,sdc02-010,12/12/2016 14:44:22,paca,1.6039951077056964,1.7604488181288558,156.45371042315935,1.8749660000000006
11,sdc02,sdc02-011,12/12/2016 14:44:28,pudu,1.4972064670687841,1.9429217202806333,445.71525321184913,1.9399999999999977
12,sdc02,sdc02-012,12/12/2016 14:44:34,baga,1.205356466239055,1.8404646417229054,635.1081754838503,1.9299779999999984
13,sdc02,sdc02-013,12/12/2016 14:44:52,poto,1.3883203336666505,1.545082087470116,156.76175380346558,1.8549659999999975
14,sdc02,sdc02-014,12/12/2016 14:44:58,bucu,1.0944231788068077,1.4239547022644392,329.53152345763147,1.8899770000000018
15,sdc02,sdc02-015,12/12/2016 14:45:04,putu,1.3423076046407376,1.5223358647263951,180.02826008565754,2.0099769999999992
16,sdc02,sdc02-016,12/12/2016 14:45:09,bugu,1.1237823314843147,1.6719953456630523,548.2130141787376,1.8100219999999965
17,sdc02,sdc02-017,12/12/2016 14:45:14,pada,1.2976220803894774,1.7112823045060765,413.6602241165992,1.7299319727891174
18,sdc02,sdc02-018,12/12/2016 14:45:19,boto,1.0829408263314517,1.4625003424752483,379.5595161437966,1.986303530612247
19,sdc02,sdc02-019,12/12/2016 14:45:25,poco,1.4116067587007324,1.5739755005504017,162.3687418496693,2.0499769999999984
20,sdc02,sdc02-020,12/12/2016 14:45:30,bodo,1.1331423320192326,1.8136361047178495,680.4937726986169,1.9083896712018102
21,sdc02,sdc02-021,12/12/2016 14:45:36,pucu,1.1407325194130649,1.3105041903108103,169.77167089774548,1.9199540000000042
22,sdc02,sdc02-022,12/12/2016 14:45:42,budu,1.0064308968405125,1.674025948608477,667.5950517679645,1.955010999999999
23,sdc02,sdc02-023,12/12/2016 14:46:24,bata,1.3490067589873125,1.6683864773911197,319.3797184038072,1.7750120000000038
24,sdc02,sdc02-024,12/12/2016 14:46:32,paga,1.210568575969874,1.6813041890683782,470.7356130985041,1.9449890000000067
25,sdc02,sdc02-049,12/12/2016 14:50:53,pugu,1.0872070943062935,1.2898696790189343,202.66258471264086,1.9499780000000015
26,sdc02,sdc02-050,12/12/2016 14:50:58,butu,0.959810934911022,1.2895074511854758,329.69651627445387,1.8649879999999968
27,sdc02,sdc02-051,12/12/2016 14:51:04,baca,1.3222633029292135,1.4721966797113442,149.9333767821307,1.9349660000000029
28,sdc02,sdc02-052,12/12/2016 14:51:09,bogo,0.7655751039916237,1.43964700455463,674.0719005630062,2.0299770000000024
29,sdc02,sdc02-053,12/12/2016 14:51:15,podo,1.2658538873980747,1.7081946078705394,442.34072047246474,2.0049430000000115
30,sdc02,sdc02-054,12/12/2016 14:51:20,bada,1.0851018902581377,1.7160023213546913,630.9004310965536,1.9350120000000004
31,sdc02,sdc02-055,12/12/2016 14:51:26,boco,1.0097301240470784,1.416025939918498,406.2958158714196,2.239999999999995
32,sdc02,sdc02-056,12/12/2016 14:51:32,pata,1.0676145860995772,1.2545382156695788,186.92362957000165,1.8249880000000047
33,sdc02,sdc02-057,12/12/2016 14:51:38,pogo,1.3244422809510736,1.8186028074421252,494.1605264910516,1.9200000000000017
34,sdc02,sdc02-058,12/12/2016 14:51:43,paca,1.5777177688881225,1.726388456547479,148.67068765935642,1.714966000000004
35,sdc02,sdc02-059,12/12/2016 14:51:50,pudu,1.221495955318453,1.695658900805548,474.16294548709504,1.9049879999999888
36,sdc02,sdc02-060,12/12/2016 14:51:55,baga,1.015302817088692,1.6363600421382916,621.0572250495995,1.9049890000000005
37,sdc02,sdc02-061,12/12/2016 14:52:01,poto,1.2777741837694192,1.4448451925850236,167.07100881560444,1.9200000000000017
38,sdc02,sdc02-062,12/12/2016 14:52:07,bucu,1.3256435318434738,1.6222290598650608,296.585528021587,1.8849890000000045
39,sdc02,sdc02-063,12/12/2016 14:52:13,putu,1.1933450007644204,1.3444807952279902,151.13579446356985,1.949977000000004
40,sdc02,sdc02-064,12/12/2016 14:52:18,bugu,1.322029611145088,1.9088579000930619,586.8282889479739,1.9100219999999979
41,sdc02,sdc02-065,12/12/2016 14:52:26,pada,1.3959654491057794,1.869346357698468,473.38090859268857,1.8899770000000018
42,sdc02,sdc02-066,12/12/2016 14:52:32,boto,1.01345754087743,1.381190342625857,367.73280174842694,1.9349660000000029
43,sdc02,sdc02-067,12/12/2016 14:52:37,poco,1.2388315336545375,1.410871720647221,172.04018699268352,1.9250339999999824
44,sdc02,sdc02-068,12/12/2016 14:52:43,bodo,1.3190769618253522,1.9406173542856024,621.5403924602502,1.8373661292558836
45,sdc02,sdc02-069,12/12/2016 14:52:49,pucu,1.4954764708861694,1.610823385454313,115.3469145681436,1.8849889999999903
46,sdc02,sdc02-070,12/12/2016 14:52:54,budu,1.2434106256107467,1.8756938907740244,632.2832651632777,2.015010999999987
47,sdc02,sdc02-071,12/12/2016 14:53:00,bata,1.5529369231991481,1.9307031955292415,377.7662723300934,1.9449889999999925
48,sdc02,sdc02-072,12/12/2016 14:53:07,paga,1.1203963148668492,1.5637210551185463,443.3247402516971,1.929977000000008
49,sdc02,sdc02-073,12/12/2016 14:53:56,pugu,1.2603759084954071,1.6509478237278303,390.5719152324232,1.8600000000000136
50,sdc02,sdc02-074,12/12/2016 14:54:01,butu,0.9339450427497127,1.2592249135917821,325.27987084206944,1.8999550000000056
51,sdc02,sdc02-075,12/12/2016 14:54:06,baca,1.071333662131547,1.3890987406459419,317.7650785143948,1.759999999999991
52,sdc02,sdc02-076,12/12/2016 14:54:12,bogo,0.9628050824238543,1.658727740616295,695.9226581924407,2.054965999999979
53,sdc02,sdc02-077,12/12/2016 14:54:17,podo,1.3319819058907956,1.80128175931223,469.2998534214343,1.9400000000000261
54,sdc02,sdc02-078,12/12/2016 14:54:23,bada,1.1987573827720353,2.1508109316328516,952.0535488608164,1.8800000000000239
55,sdc02,sdc02-079,12/12/2016 14:54:29,boco,1.080345886817215,1.413815833854696,333.4699470374809,1.8599999999999852
56,sdc02,sdc02-080,12/12/2016 14:55:06,pata,1.357958396231757,1.5166333442335065,158.67494800174953,1.8249879999999905
57,sdc02,sdc02-081,12/12/2016 14:55:12,pogo,1.1629246214570232,1.6529556086473391,490.0309871903159,2.1200000000000045
58,sdc02,sdc02-082,12/12/2016 14:55:17,paca,1.2781437316878919,1.4426557077523776,164.51197606448576,1.8599999999999852
59,sdc02,sdc02-083,12/12/2016 14:55:23,pudu,1.143676836554232,1.578822302974359,435.1454664201271,1.7900229999999908
60,sdc02,sdc02-084,12/12/2016 14:55:29,baga,1.0600794437308916,1.747855474253635,687.7760305227434,1.9399999999999977
61,sdc02,sdc02-085,12/12/2016 14:55:34,poto,1.4445840377853456,1.6103184580876648,165.73442030231922,2.0099770000000206
62,sdc02,sdc02-086,12/12/2016 14:55:40,bucu,1.0840555315337135,1.3851614700269,301.10593849318644,1.9249440000000106
63,sdc02,sdc02-087,12/12/2016 14:55:46,putu,1.1648191888684825,1.349288311576494,184.46912270801153,1.9150120000000186
64,sdc02,sdc02-088,12/12/2016 14:55:51,bugu,1.162567351728259,1.8331285116113378,670.5611598830787,2.1200000000000045
65,sdc02,sdc02-089,12/12/2016 14:55:57,pada,1.423862679564123,1.921827984736515,497.965305172392,1.9799540000000206
66,sdc02,sdc02-090,12/12/2016 14:56:03,boto,1.3602837706275692,1.7126233534386832,352.339582811114,1.9499769999999899
67,sdc02,sdc02-091,12/12/2016 14:56:08,poco,1.2776696895789224,1.4453032068522307,167.63351727330834,1.990021999999982
