speaker,file,word,time,maximum,minimum,position
SC01,SC01-002,pada,-0.08178975433427293,0.24954239942934955,0.8722790748228576,before
SC01,SC01-002,pada,-0.07356410858747009,0.26255356343114544,0.8798733567167887,before
SC01,SC01-002,pada,-0.06544625794843006,0.2615474207492558,0.8844836391465455,before
SC01,SC01-002,pada,-0.05730286001691942,0.2581499993774284,0.8820432641220151,before
SC01,SC01-002,pada,-0.049289882962489484,0.25742723226636965,0.8860331932717815,before
SC01,SC01-002,pada,-0.04134256273669146,0.26089735621863164,0.8920661092201857,before
SC01,SC01-002,pada,-0.03345175662518507,0.26888783135038247,0.8911184651121199,before
SC01,SC01-002,pada,-0.025723776298593348,0.2679061120264792,0.8962635745515394,before
SC01,SC01-002,pada,-0.017975456401876366,0.3107887342828992,0.823762357812644,before
SC01,SC01-002,pada,-0.009892768618528391,0.28641877652478326,0.8855178673061695,before
SC01,SC01-002,pada,-0.0019641763706308435,0.2947936930030536,0.8839428189026799,before
SC01,SC01-002,pada,0.006098996846918947,0.30339830389739747,0.8614475684375534,after
SC01,SC01-002,pada,0.014256580302504318,0.30010362124269424,0.8031338353679994,after
SC01,SC01-002,pada,0.02246016998617839,0.2923469485460898,0.7588021299362363,after
SC01,SC01-002,pada,0.03088961608421359,0.26368008058745535,0.6708378048487991,after
SC01,SC01-002,pada,0.03943116029680005,0.26131759309921027,0.6016957201409482,after
SC01,SC01-002,pada,0.04733722252770245,0.28767672021992335,0.7774212455953166,after
SC01,SC01-002,pada,0.054172532764360515,0.3000102744015661,0.7643974042009711,after
SC01,SC01-003,poko,-0.0846414944649927,0.27251661041849884,0.8964928800197319,before
SC01,SC01-003,poko,-0.07644790682853331,0.29289307965375666,0.8869069506929306,before
SC01,SC01-003,poko,-0.06834812935744616,0.30347659668447363,0.8892049110394464,before
SC01,SC01-003,poko,-0.06010933558686893,0.3144272366590571,0.8525303903009398,before
SC01,SC01-003,poko,-0.051867424725482225,0.33666651027011213,0.8179241939473144,before
SC01,SC01-003,poko,-0.04331572516295723,0.3452854410801544,0.6792081065301213,before
SC01,SC01-003,poko,0.06362647808233857,0.25319225425098657,0.6968250775894465,after
SC01,SC01-003,poko,0.07000598076114728,0.30369458019414275,0.7356990327755557,after
SC01,SC01-004,pata,-0.07393184086488414,0.26468751401964347,0.8961050892106269,before
SC01,SC01-004,pata,-0.0653614166214882,0.2743970282960181,0.8952490556007705,before
SC01,SC01-004,pata,-0.056932179944799266,0.2827493368515474,0.8952634581205392,before
SC01,SC01-004,pata,-0.048491793216367096,0.2980563842929115,0.8924497103915103,before
SC01,SC01-004,pata,-0.04019235739710503,0.3186588322599468,0.8949120028508185,before
SC01,SC01-004,pata,-0.03191717976366215,0.33846741802863617,0.8651263469959483,before
SC01,SC01-004,pata,-0.023545374851629886,0.3460568884394395,0.765695866239603,before
SC01,SC01-004,pata,-0.014157178227142131,0.43878142129949876,0.919939164958595,before
SC01,SC01-004,pata,0.061039393173828005,1.0862161844096203,4.583598111255628,after
SC01,SC01-004,pata,0.07287745690389591,0.20006786378779112,0.6582795520139623,after
SC01,SC01-004,pata,0.07797888931928343,0.3005975238042079,0.7767784837579996,after
SC01,SC01-004,pata,0.08588146183342604,0.294936133145969,0.823267404069626,after
SC01,SC01-005,boko,-0.08598901979797868,0.2603093613566905,0.9038435960258774,before
SC01,SC01-005,boko,-0.07747978055876281,0.26999485922032546,0.9056417040137665,before
SC01,SC01-005,boko,-0.06901157232357491,0.27760642722118034,0.9100274606139803,before
SC01,SC01-005,boko,-0.06074124834238126,0.3295333814272348,0.8729695004839331,before
SC01,SC01-005,boko,-0.05261231079047879,0.3149370171967336,0.8132964395904699,before
SC01,SC01-005,boko,-0.044138960320883935,0.33362662179417224,0.7566032246621934,before
SC01,SC01-005,boko,-0.035514821069495994,0.32907510100736487,0.7150413678432259,before
SC01,SC01-006,podo,-0.07094784180461233,0.24977565278138816,0.8970681974561628,before
SC01,SC01-006,podo,-0.062217772914494596,0.24750412609462039,0.8997938044470054,before
SC01,SC01-006,podo,-0.053518320754390336,0.24925506452248367,0.8971046894580273,before
SC01,SC01-006,podo,-0.045058412088823774,0.2588875214129688,0.8987678385978588,before
SC01,SC01-006,podo,-0.03665560279978708,0.2637479457854501,0.9047120190076927,before
SC01,SC01-006,podo,-0.02842330054224651,0.29031501572027246,0.9105149402395288,before
SC01,SC01-006,podo,-0.019793716180991128,0.31158056290444724,0.916142989080812,before
SC01,SC01-006,podo,-0.010961432266839877,0.31762169829591186,0.9157314133931314,before
SC01,SC01-006,podo,-0.002050536253535018,0.31768006933985843,0.9180089743347828,before
SC01,SC01-006,podo,0.006947596354423435,0.31292499701513476,0.9177329752247289,after
SC01,SC01-006,podo,0.016025575921992052,0.3120522524281498,0.9256193183473745,after
SC01,SC01-006,podo,0.025040004892106893,0.31362800854407363,0.9248740507406142,after
SC01,SC01-006,podo,0.03412563774462307,0.3281669006146209,0.9100106212936325,after
SC01,SC01-006,podo,0.042650448317269385,0.296115138195226,0.8999465590682756,after
SC01,SC01-006,podo,0.05071272388571457,0.28905135891397166,0.904393844809843,after
SC01,SC01-006,podo,0.05902111862798942,0.2879406428798179,0.9063495060330978,after
SC01,SC01-007,boto,-0.08336214445297463,0.261972710025895,0.9181880419693023,before
SC01,SC01-007,boto,-0.0747232102017541,0.2680834203708267,0.917886349130448,before
SC01,SC01-007,boto,-0.06606749596613004,0.2612955861391098,0.8699868598468101,before
SC01,SC01-007,boto,-0.05743026187831046,0.2606466586878182,0.8639505157867811,before
SC01,SC01-007,boto,-0.049017560993307674,0.278130699387445,0.8303470436894662,before
SC01,SC01-007,boto,-0.040629844759610734,0.2944259531674016,0.8488924293346115,before
SC01,SC01-007,boto,-0.03237182616796708,0.31789421557951386,0.7597936939638422,before
SC01,SC01-007,boto,-0.02317086638157706,0.32708184886555164,0.6819772873345334,before
SC01,SC01-007,boto,0.07529923185111231,0.18252221555991452,0.6979489023226434,after
SC01,SC01-007,boto,0.08065239546797542,0.29318824299634977,0.7440627008106009,after
SC01,SC01-008,paka,-0.06986183106289068,0.30428216817185816,0.8868098442480532,before
SC01,SC01-008,paka,-0.06102835650140381,0.32333920182595005,0.8808690207683982,before
SC01,SC01-008,paka,-0.05224461071641273,0.3365175690914129,0.8458143431432368,before
SC01,SC01-008,paka,-0.04339507489347949,0.3705846174617248,0.8123688310405953,before
SC01,SC01-008,paka,-0.034648558309296584,0.4380947556319387,0.7453530369368678,before
SC01,SC01-008,paka,-0.025207869176063546,0.3143266632791755,0.8582792632353874,before
SC01,SC01-009,bodo,-0.0839884981333272,0.26286647431476484,0.9182623969655532,before
SC01,SC01-009,bodo,-0.07515610329893274,0.2657857927359036,0.9164421876547424,before
SC01,SC01-009,bodo,-0.06613001013159714,0.2624682651761733,0.9130907439276883,before
SC01,SC01-009,bodo,-0.05721129179558271,0.25700948754342823,0.9163236194005192,before
SC01,SC01-009,bodo,-0.0483979885750605,0.26697088979549904,0.9168266346532132,before
SC01,SC01-009,bodo,-0.03954812814654485,0.2699487031208525,0.9202140687274735,before
SC01,SC01-009,bodo,-0.03081284681469132,0.27737409228311494,0.921263799205489,before
SC01,SC01-009,bodo,-0.022163124650425026,0.30156048924914053,0.9041289425641094,before
SC01,SC01-009,bodo,-0.012998698648627682,0.3179003707031401,0.8651087918363851,before
SC01,SC01-009,bodo,-0.0033700597883525862,0.31223689058295273,0.7987282736885822,before
SC01,SC01-009,bodo,0.0063798401535724025,0.3135972385340218,0.7313918516970701,after
SC01,SC01-009,bodo,0.015781674874121743,0.33520347430645103,0.6764757859439965,after
SC01,SC01-009,bodo,0.024805316594102456,0.34340922228211074,0.6543823224989234,after
SC01,SC01-011,paga,-0.08856855792823248,0.2842591108077959,0.8785720959644745,before
SC01,SC01-011,paga,-0.07954939822950569,0.27905556967045225,0.8654481322865043,before
SC01,SC01-011,paga,-0.07047233171855982,0.27233152695648216,0.8692035258903743,before
SC01,SC01-011,paga,-0.061632755731266364,0.27189614866767337,0.8766266173642009,before
SC01,SC01-011,paga,-0.05288508496835509,0.28389892469754713,0.8948981397107303,before
SC01,SC01-011,paga,-0.04437132306943181,0.30525999257950986,0.8851686053548945,before
SC01,SC01-011,paga,-0.03588350978821886,0.33331606031997746,0.9055122406267401,before
SC01,SC01-011,paga,-0.02722763370089476,0.3404724636044449,0.914383008606094,before
SC01,SC01-011,paga,-0.018184588516507283,0.35233071025616797,0.8951251579219348,before
SC01,SC01-011,paga,-0.009034480830145242,0.34635189807930655,0.8602793866631805,before
SC01,SC01-011,paga,0.0003028157144580046,0.3216998094397435,0.8170811872698122,after
SC01,SC01-011,paga,0.009702360931055143,0.2851933834965139,0.733180372158089,after
SC01,SC01-011,paga,0.019757647104746034,0.2801424789556963,0.7524977562463653,after
SC01,SC01-011,paga,0.027252398412926038,0.31908169034026757,0.807088337481837,after
SC01,SC01-011,paga,0.035142879136624394,0.32302970717689095,0.8538571296519234,after
SC01,SC01-011,paga,0.04345845637075363,0.31134472219238624,0.8582093393408872,after
SC01,SC01-012,bada,-0.07335095216605714,0.2879754170382707,0.8971661084359547,before
SC01,SC01-012,bada,-0.06432423112090535,0.2852095128291047,0.8759979118665502,before
SC01,SC01-012,bada,-0.055168335302334226,0.2768218645874365,0.8760749222901589,before
SC01,SC01-012,bada,-0.046191016099760285,0.28135777406761026,0.8702801342690538,before
SC01,SC01-012,bada,-0.03727720839819182,0.2779683528870645,0.860136283627234,before
