speaker,file,date,word,time,rel.time,proportion,maximum,minimum
ab03,ab03-001,24/03/2017 14:44:27,paka,1.5163580822270486,0.016972015304731913,0.1613475583409875,0.3180151417442622,0.7707709658434021
ab03,ab03-001,24/03/2017 14:44:27,paka,1.5262496461221677,0.02686357919985105,0.255383514236359,0.2638070431379295,0.7934952703431923
ab03,ab03-001,24/03/2017 14:44:27,paka,1.5354621628711254,0.03607609594880867,0.3429639846125165,0.2851635129854905,0.806023674134366
ab03,ab03-001,24/03/2017 14:44:27,paka,1.5450741094181095,0.045688042495792835,0.4343417071996266,0.30412345792712325,0.8110772088630933
ab03,ab03-001,24/03/2017 14:44:27,paka,1.5549748149574396,0.055588748035122926,0.5284645698026681,0.31411999342294716,0.7999420412141353
ab03,ab03-001,24/03/2017 14:44:27,paka,1.5647269795314906,0.06534091260917396,0.6211753006328431,0.37652599647228124,0.8245014853972457
ab03,ab03-001,24/03/2017 14:44:27,paka,1.57371408213199,0.07432801520967325,0.7066128303024173,0.4498257245280724,0.7935870638378262
ab03,ab03-002,24/03/2017 14:44:32,poko,1.1900629212482328,0.015507235640935813,0.23643274128140726,0.2883810299717096,0.7824693089279191
ab03,ab03-002,24/03/2017 14:44:32,poko,1.1980660718954024,0.023510386288105423,0.3584536410866153,0.3003211683485641,0.8255585361464208
ab03,ab03-002,24/03/2017 14:44:32,poko,1.2059419774602997,0.03138629185300279,0.4785344850164366,0.32995660281543643,0.8180624205934232
ab03,ab03-002,24/03/2017 14:44:32,poko,1.2143247513418838,0.03976906573458683,0.6063433514228473,0.3278483522126313,0.8148520857670873
ab03,ab03-003,24/03/2017 14:44:36,pugu,1.0804833995885916,0.015748713928402047,0.19263725658169267,0.2600369018157469,0.7913900715822915
ab03,ab03-003,24/03/2017 14:44:36,pugu,1.088513971609055,0.02377928594886547,0.2908666974005939,0.2893654814319388,0.7966606274136827
ab03,ab03-003,24/03/2017 14:44:36,pugu,1.0968351345760272,0.03210044891583763,0.3926506280005284,0.3058485645418726,0.8326545695601942
ab03,ab03-003,24/03/2017 14:44:36,pugu,1.1053432070127809,0.0406085213525913,0.4967208232219132,0.3015365419535557,0.8349545469751382
ab03,ab03-003,24/03/2017 14:44:36,pugu,1.1139685634680951,0.04923387780790556,0.6022256290203334,0.307369639894124,0.8328003369738365
ab03,ab03-003,24/03/2017 14:44:36,pugu,1.1225887692696934,0.05785408360950384,0.7076674323535389,0.3216471473838924,0.8324777516712102
ab03,ab03-004,24/03/2017 14:44:40,podo,1.2616168863205062,0.0152150738617014,0.17195581348288835,0.2792365284374621,0.7349352232992953
ab03,ab03-004,24/03/2017 14:44:40,podo,1.2700316689065494,0.023629856447744624,0.2670569479247622,0.23874233557691676,0.733496651952456
ab03,ab03-004,24/03/2017 14:44:40,podo,1.2784914666577065,0.03208965419890175,0.3626668291138807,0.21229767591626095,0.8009414555622039
ab03,ab03-004,24/03/2017 14:44:40,podo,1.2862856572296792,0.03988384477087448,0.45075423456630204,0.26833908997591044,0.8215371501578729
ab03,ab03-004,24/03/2017 14:44:40,podo,1.294558462870358,0.04815665041155315,0.544250791773922,0.2771976048110496,0.8312306744956688
ab03,ab03-004,24/03/2017 14:44:40,podo,1.3030585505283458,0.05665673806954108,0.640316016378867,0.2677163491645624,0.8276494863644535
ab03,ab03-004,24/03/2017 14:44:40,podo,1.3117168696603156,0.06531505720151087,0.7381695216109365,0.2632147915005352,0.8455837311704746
ab03,ab03-005,24/03/2017 14:44:44,putu,1.1592300463729521,0.016263002195687104,0.18252277545076895,0.31841803378166733,0.8372763210651581
ab03,ab03-005,24/03/2017 14:44:44,putu,1.1683088988326706,0.025341854655405616,0.2844164681968303,0.3143386034623942,0.8497713433335192
ab03,ab03-005,24/03/2017 14:44:44,putu,1.1775946184630663,0.03462757428580132,0.38863187065474686,0.3012945399447724,0.8469947919735922
ab03,ab03-005,24/03/2017 14:44:44,putu,1.1867770527126034,0.04381000853533834,0.4916880815838806,0.31443198627324936,0.8400289725572794
ab03,ab03-005,24/03/2017 14:44:44,putu,1.1958590273240866,0.05289198314682153,0.5936168148346785,0.3193940778782407,0.832469806206979
ab03,ab03-005,24/03/2017 14:44:44,putu,1.2051697886065504,0.06220274442928542,0.6981132645298984,0.3293544373418678,0.8110944680131215
ab03,ab03-006,24/03/2017 14:44:48,poto,1.2602796309827813,0.020460685404550816,0.2611960440618676,0.2470002709276143,0.8384667111383125
ab03,ab03-006,24/03/2017 14:44:48,poto,1.267855546365321,0.02803660078709047,0.3579083041324265,0.2707964962760628,0.8063570614693124
ab03,ab03-006,24/03/2017 14:44:48,poto,1.276356437230989,0.03653749165275855,0.4664285722081143,0.24546475334853624,0.8359980187670474
ab03,ab03-006,24/03/2017 14:44:48,poto,1.2845867143486709,0.04476776877044042,0.571494252177627,0.2619147596904961,0.8284481074319406
ab03,ab03-006,24/03/2017 14:44:48,poto,1.2931705705866832,0.0533516250084527,0.6810736356554608,0.2740823893732083,0.8421131940583957
ab03,ab03-007,24/03/2017 14:44:52,pada,1.3910943222346146,0.01714906826636109,0.17742034778006194,0.27553249342393143,0.7559739771536389
ab03,ab03-007,24/03/2017 14:44:52,pada,1.3997312302622766,0.025785976294023127,0.2667758277519989,0.2819988230205997,0.7867037875759357
ab03,ab03-007,24/03/2017 14:44:52,pada,1.4083367522821437,0.03439149831389021,0.35580659524790403,0.2932168690631104,0.797940403687994
ab03,ab03-007,24/03/2017 14:44:52,pada,1.4170805913250208,0.043135337356767334,0.4462683591072956,0.28573350886579774,0.7915007578336133
