index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,participant,
5,0,5,../data/raw/stimuli/pudu.wav,u,slash,t_left,confound,,,,,,,,,0,0,0,0,3,3,21,4,,,,,,,,,,,,,,,slash,1,0.369652986526,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
6,5,0,../data/raw/stimuli/putu0.wav,u,z,t_left,voicing,,,,,,,,,0,0,0,0,3,4,22,5,,,,,,,,,,,,,,,z,1,0.617285966873,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
3,0,5,../data/raw/stimuli/pidi.wav,i,slash,t_left,confound,,,,,,,,,0,0,0,0,3,5,23,2,,,,,,,,,,,,,,,slash,1,0.269423007965,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
4,5,0,../data/raw/stimuli/piti0.wav,i,z,t_left,voicing,,,,,,,,,0,0,0,0,4,0,24,3,,,,,,,,,,,,,,,z,1,0.336275100708,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
2,5,0,../data/raw/stimuli/pata0.wav,a,z,t_left,voicing,,,,,,,,,0,0,0,0,4,1,25,1,,,,,,,,,,,,,,,z,1,0.26944899559,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
5,0,5,../data/raw/stimuli/pudu.wav,u,slash,t_left,confound,,,,,,,,,0,0,0,0,4,2,26,4,,,,,,,,,,,,,,,slash,1,0.285781860352,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
1,0,5,../data/raw/stimuli/pada.wav,a,slash,t_left,confound,,,,,,,,,0,0,0,0,4,3,27,0,,,,,,,,,,,,,,,slash,1,0.452497959137,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
6,5,0,../data/raw/stimuli/putu0.wav,u,z,t_left,voicing,,,,,,,,,0,0,0,0,4,4,28,5,,,,,,,,,,,,,,,z,1,0.352944850922,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
3,0,5,../data/raw/stimuli/pidi.wav,i,slash,t_left,confound,,,,,,,,,0,0,0,0,4,5,29,2,,,,,,,,,,,,,,,slash,1,0.267314910889,,,,,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
18,2,0,../data/raw/stimuli/pidi2.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,0,0,17,,,,,,,,,,,,,,space,7.23982000351,z,0.552607059479,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
1,0,5,../data/raw/stimuli/pada.wav,a,,t_left,confound,,,,,,,,,0,0,0,0,,,,,0,1,1,0,,,,,,,,,,,,,,,,slash,0.652292013168,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
14,5,6,../data/raw/stimuli/pata6.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,2,2,13,,,,,,,,,,,,,,,,slash,0.552273035049,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
31,1,0,../data/raw/stimuli/pudu1.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,3,3,30,,,,,,,,,,,,,,,,z,0.436151981354,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
12,5,4,../data/raw/stimuli/pata4.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,4,4,11,,,,,,,,,,,,,,,,z,0.917661905289,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
10,5,2,../data/raw/stimuli/pata2.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,5,5,9,,,,,,,,,,,,,,,,z,0.402621030807,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
26,5,4,../data/raw/stimuli/piti4.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,6,6,25,,,,,,,,,,,,,,,,slash,0.669667005539,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
