index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
31,1,0,../data/raw/stimuli/pudu1.wav,u,,t_right,burst,0,0,0,0,,,,,0,8,8,30,,,,,,,,,,,,,,,,,,,,slash,1.10306286812,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
21,5,0,../data/raw/stimuli/pidi5.wav,i,,t_right,burst,0,0,0,0,,,,,0,9,9,20,,,,,,,,,,,,,,,,,,,,slash,0.518913030624,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
4,2,0,../data/raw/stimuli/pada2.wav,a,,t_right,burst,0,0,0,0,,,,,0,10,10,3,,,,,,,,,,,,,,,,,,,,slash,0.986479997635,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
9,5,1,../data/raw/stimuli/pata1.wav,a,,t_right,voicing,0,0,0,0,,,,,0,11,11,8,,,,,,,,,,,,,,,,,,,,slash,0.60249710083,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
5,3,0,../data/raw/stimuli/pada3.wav,a,,t_right,burst,0,0,0,0,,,,,0,12,12,4,,,,,,,,,,,,,,,,,,,,slash,0.519804954529,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
25,5,3,../data/raw/stimuli/piti3.wav,i,,t_right,voicing,0,0,0,0,,,,,0,13,13,24,,,,,,,,,,,,,,,,,,,,slash,0.836627006531,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
22,5,0,../data/raw/stimuli/piti0.wav,i,,t_right,voicing,0,0,0,0,,,,,0,14,14,21,,,,,,,,,,,,,,,,,,,,slash,0.2837870121,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
12,5,4,../data/raw/stimuli/pata4.wav,a,,t_right,voicing,0,0,0,0,,,,,0,15,15,11,,,,,,,,,,,,,,,,,,,,slash,0.584138870239,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
19,3,0,../data/raw/stimuli/pidi3.wav,i,,t_right,burst,0,0,0,0,,,,,0,16,16,18,,,,,,,,,,,,,,,,,,,,slash,0.202533006668,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
37,5,1,../data/raw/stimuli/putu1.wav,u,,t_right,voicing,0,0,0,0,,,,,0,17,17,36,,,,,,,,,,,,,,,,,,,,slash,0.502556085587,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
24,5,2,../data/raw/stimuli/piti2.wav,i,,t_right,voicing,0,0,0,0,,,,,0,18,18,23,,,,,,,,,,,,,,,,,,,,slash,0.367358922958,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
3,1,0,../data/raw/stimuli/pada1.wav,a,,t_right,burst,0,0,0,0,,,,,0,19,19,2,,,,,,,,,,,,,,,,,,,,z,0.719717979431,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
23,5,1,../data/raw/stimuli/piti1.wav,i,,t_right,voicing,0,0,0,0,,,,,0,20,20,22,,,,,,,,,,,,,,,,,,,,slash,0.185838937759,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
16,0,0,../data/raw/stimuli/pidi0.wav,i,,t_right,burst,0,0,0,0,,,,,0,21,21,15,,,,,,,,,,,,,,,,,,,,slash,0.236160039902,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
15,0,5,../data/raw/stimuli/pidi.wav,i,,t_right,confound,0,0,0,0,,,,,0,22,22,14,,,,,,,,,,,,,,,,,,,,z,0.320065975189,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
1,0,5,../data/raw/stimuli/pada.wav,a,,t_right,confound,0,0,0,0,,,,,0,23,23,0,,,,,,,,,,,,,,,,,,,,z,0.352006196976,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
30,0,0,../data/raw/stimuli/pudu0.wav,u,,t_right,burst,0,0,0,0,,,,,0,24,24,29,,,,,,,,,,,,,,,,,,,,slash,0.335471868515,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
28,5,6,../data/raw/stimuli/piti6.wav,i,,t_right,voicing,0,0,0,0,,,,,0,25,25,27,,,,,,,,,,,,,,,,,,,,slash,0.969116210938,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
18,2,0,../data/raw/stimuli/pidi2.wav,i,,t_right,burst,0,0,0,0,,,,,0,26,26,17,,,,,,,,,,,,,,,,,,,,slash,0.436716079712,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
20,4,0,../data/raw/stimuli/pidi4.wav,i,,t_right,burst,0,0,0,0,,,,,0,27,27,19,,,,,,,,,,,,,,,,,,,,slash,0.167248010635,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
29,0,5,../data/raw/stimuli/pudu.wav,u,,t_right,confound,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,z,0.235908031464,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
17,1,0,../data/raw/stimuli/pidi1.wav,i,,t_right,burst,0,0,0,0,,,,,0,29,29,16,,,,,,,,,,,,,,,,,,,,slash,0.283687829971,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
6,4,0,../data/raw/stimuli/pada4.wav,a,,t_right,burst,0,0,0,0,,,,,0,30,30,5,,,,,,,,,,,,,,,,,,,,slash,0.403249979019,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
