index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
38,5,2,../data/raw/stimuli/putu2.wav,u,,t_right,voicing,,,,,0,0,0,0,,,,,0,9,9,37,,,,,,,,,,,,,,,,,,,,slash,0.60070514679,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
30,0,0,../data/raw/stimuli/pudu0.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,0,10,10,29,,,,,,,,,,,,,,,,,,,,z,0.469661951065,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
24,5,2,../data/raw/stimuli/piti2.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,0,11,11,23,,,,,,,,,,,,,,,,,,,,slash,0.386665821075,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
25,5,3,../data/raw/stimuli/piti3.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,0,12,12,24,,,,,,,,,,,,,,,,,,,,slash,0.40057182312,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
19,3,0,../data/raw/stimuli/pidi3.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,0,13,13,18,,,,,,,,,,,,,,,,,,,,slash,0.686745882034,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
9,5,1,../data/raw/stimuli/pata1.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,0,14,14,8,,,,,,,,,,,,,,,,,,,,slash,0.601238965988,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
33,3,0,../data/raw/stimuli/pudu3.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,0,15,15,32,,,,,,,,,,,,,,,,,,,,slash,0.485764026642,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
23,5,1,../data/raw/stimuli/piti1.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,0,16,16,22,,,,,,,,,,,,,,,,,,,,slash,0.353035926819,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
16,0,0,../data/raw/stimuli/pidi0.wav,i,,t_right,burst,,,,,0,0,0,0,,,,,0,17,17,15,,,,,,,,,,,,,,,,,,,,z,0.586595058441,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
36,5,0,../data/raw/stimuli/putu0.wav,u,,t_right,voicing,,,,,0,0,0,0,,,,,0,18,18,35,,,,,,,,,,,,,,,,,,,,slash,0.419375896454,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
