stimulus_id,stimulus,sentence,word,consonant_1,vowel,consonant_2,backness,height,place_1,place_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
172,Ripete "cuco" da sempre,Ripete X da sempre,cuco,k,u,k,back,high,velar,velar,0,28,28,171,space,1.36935806274,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
3,Sentivo "papo" di nuovo,Sentivo X di nuovo,papo,p,a,p,central,low,labial,labial,0,29,29,2,space,1.13575005531,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
1,Scrivete "papo" sul foglio,Scrivete X sul foglio,papo,p,a,p,central,low,labial,labial,0,30,30,0,space,1.16897988319,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
128,Ripete "chipo" da sempre,Ripete X da sempre,chipo,k,i,p,front,high,velar,labial,0,31,31,127,space,1.21979498863,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
162,Ha detto "chico" sei volte,Ha detto X sei volte,chico,k,i,k,front,high,velar,velar,0,32,32,161,space,1.15434885025,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
58,Ha detto "tapo" sei volte,Ha detto X sei volte,tapo,t,a,p,central,low,coronal,labial,0,33,33,57,space,1.16997313499,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
32,Ripete "poto" da sempre,Ripete X da sempre,poto,p,o,t,back,mid-low,labial,coronal,0,34,34,31,space,1.13694500923,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
33,Scrivete "puto" sul foglio,Scrivete X sul foglio,puto,p,u,t,back,high,labial,coronal,0,35,35,32,space,1.35204100609,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
10,Ha detto "pipo" sei volte,Ha detto X sei volte,pipo,p,i,p,front,high,labial,labial,0,36,36,9,space,1.28560996056,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
55,Sentivo "puco" di nuovo,Sentivo X di nuovo,puco,p,u,k,back,high,labial,velar,0,37,37,54,space,1.08501911163,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
64,Ripete "tepo" da sempre,Ripete X da sempre,tepo,t,e,p,front,mid-high,coronal,labial,0,38,38,63,space,1.15306997299,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
53,Scrivete "puco" sul foglio,Scrivete X sul foglio,puco,p,u,k,back,high,labial,velar,0,39,39,52,space,0.969792842865,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
5,Scrivete "pepo" sul foglio,Scrivete X sul foglio,pepo,p,e,p,front,mid-high,labial,labial,0,40,40,4,space,1.62010288239,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
37,Scrivete "paco" sul foglio,Scrivete X sul foglio,paco,p,a,k,central,low,labial,velar,0,41,41,36,space,1.30211400986,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
59,Sentivo "tapo" di nuovo,Sentivo X di nuovo,tapo,t,a,p,central,low,coronal,labial,0,42,42,58,space,1.37073993683,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
86,Ha detto "tito" sei volte,Ha detto X sei volte,tito,t,i,t,front,high,coronal,coronal,0,43,43,85,space,1.22092103958,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
103,Sentivo "teco" di nuovo,Sentivo X di nuovo,teco,t,e,k,front,mid-high,coronal,velar,0,44,44,102,space,1.06895804405,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
57,Scrivete "tapo" sul foglio,Scrivete X sul foglio,tapo,t,a,p,central,low,coronal,labial,0,45,45,56,space,1.21980690956,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
163,Sentivo "chico" di nuovo,Sentivo X di nuovo,chico,k,i,k,front,high,velar,velar,0,46,46,162,space,1.05226707458,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
31,Sentivo "poto" di nuovo,Sentivo X di nuovo,poto,p,o,t,back,mid-low,labial,coronal,0,47,47,30,space,1.01918315887,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
