stimulus_id,stimulus,sentence,word,consonant_1,vowel,consonant_2,backness,height,place_1,place_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
102,Ha detto "teco" sei volte,Ha detto X sei volte,teco,t,e,k,front,mid-high,coronal,velar,0,0,0,101,space,10.3403539658,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
152,Ripete "coto" da sempre,Ripete X da sempre,coto,k,o,t,back,mid-low,velar,coronal,0,1,1,151,space,2.07032299042,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
130,Ha detto "copo" sei volte,Ha detto X sei volte,copo,k,o,p,back,mid-low,velar,labial,0,2,2,129,space,14.9422090054,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
67,Sentivo "tipo" di nuovo,Sentivo X di nuovo,tipo,t,i,p,front,high,coronal,labial,0,3,3,66,space,1.87066888809,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
126,Ha detto "chipo" sei volte,Ha detto X sei volte,chipo,k,i,p,front,high,velar,labial,0,4,4,125,space,2.10350418091,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
101,Scrivete "teco" sul foglio,Scrivete X sul foglio,teco,t,e,k,front,mid-high,coronal,velar,0,5,5,100,space,1.9356238842,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
33,Scrivete "puto" sul foglio,Scrivete X sul foglio,puto,p,u,t,back,high,labial,coronal,0,6,6,32,space,1.88708400726,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
18,Ha detto "pupo" sei volte,Ha detto X sei volte,pupo,p,u,p,back,high,labial,labial,0,7,7,17,space,1.87026715279,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
52,Ripete "poco" da sempre,Ripete X da sempre,poco,p,o,k,back,mid-low,labial,velar,0,8,8,51,space,1.821434021,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
39,Sentivo "paco" di nuovo,Sentivo X di nuovo,paco,p,a,k,central,low,labial,velar,0,9,9,38,space,1.60388183594,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
63,Sentivo "tepo" di nuovo,Sentivo X di nuovo,tepo,t,e,p,front,mid-high,coronal,labial,0,10,10,62,space,1.66982889175,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
21,Scrivete "pato" sul foglio,Scrivete X sul foglio,pato,p,a,t,central,low,labial,coronal,0,11,11,20,space,1.8369269371,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
3,Sentivo "papo" di nuovo,Sentivo X di nuovo,papo,p,a,p,central,low,labial,labial,0,12,12,2,space,1.7046880722,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
156,Ripete "cuto" da sempre,Ripete X da sempre,cuto,k,u,t,back,high,velar,coronal,0,13,13,155,space,1.75404000282,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
117,Scrivete "capo" sul foglio,Scrivete X sul foglio,capo,k,a,p,central,low,velar,labial,0,14,14,116,space,1.72011899948,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
113,Scrivete "tuco" sul foglio,Scrivete X sul foglio,tuco,t,u,k,back,high,coronal,velar,0,15,15,112,space,12.4588201046,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
78,Ha detto "tato" sei volte,Ha detto X sei volte,tato,t,a,t,central,low,coronal,coronal,0,16,16,77,space,1.85276913643,2018_Aug_23_1442,59.9574295937228,italian-egg,it10,
