stimulus_id,stimulus,sentence,word,consonant_1,vowel,consonant_2,backness,height,place_1,place_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
163,Sentivo "chico" di nuovo,Sentivo X di nuovo,chico,k,i,k,front,high,velar,velar,0,0,0,162,space,66.299574852,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
54,Ha detto "puco" sei volte,Ha detto X sei volte,puco,p,u,k,back,high,labial,velar,0,1,1,53,space,4.95477700233,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
129,Scrivete "copo" sul foglio,Scrivete X sul foglio,copo,k,o,p,back,mid-low,velar,labial,0,2,2,128,space,5.02142000198,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
169,Scrivete "cuco" sul foglio,Scrivete X sul foglio,cuco,k,u,k,back,high,velar,velar,0,3,3,168,space,2.01913619041,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
148,Ripete "chito" da sempre,Ripete X da sempre,chito,k,i,t,front,high,velar,coronal,0,4,4,147,space,4.20409798622,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
50,Ha detto "poco" sei volte,Ha detto X sei volte,poco,p,o,k,back,mid-low,labial,velar,0,5,5,49,space,1.78565716743,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
158,Ha detto "checo" sei volte,Ha detto X sei volte,checo,k,e,k,front,mid-high,velar,velar,0,6,6,157,space,2.15114617348,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
14,Ha detto "popo" sei volte,Ha detto X sei volte,popo,p,o,p,back,mid-low,labial,labial,0,7,7,13,space,6.22200798988,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
42,Ha detto "peco" sei volte,Ha detto X sei volte,peco,p,e,k,front,mid-high,labial,velar,0,8,8,41,space,1.75440597534,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
44,Ripete "peco" da sempre,Ripete X da sempre,peco,p,e,k,front,mid-high,labial,velar,0,9,9,43,space,1.85382986069,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
61,Scrivete "tepo" sul foglio,Scrivete X sul foglio,tepo,t,e,p,front,mid-high,coronal,labial,0,10,10,60,space,1.93699216843,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
105,Scrivete "tico" sul foglio,Scrivete X sul foglio,tico,t,i,k,front,high,coronal,velar,0,11,11,104,space,3.93893694878,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
108,Ripete "tico" da sempre,Ripete X da sempre,tico,t,i,k,front,high,coronal,velar,0,12,12,107,space,1.60169005394,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
114,Ha detto "tuco" sei volte,Ha detto X sei volte,tuco,t,u,k,back,high,coronal,velar,0,13,13,113,space,1.80371403694,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
103,Sentivo "teco" di nuovo,Sentivo X di nuovo,teco,t,e,k,front,mid-high,coronal,velar,0,14,14,102,space,3.75411510468,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
84,Ripete "teto" da sempre,Ripete X da sempre,teto,t,e,t,front,mid-high,coronal,coronal,0,15,15,83,space,1.73625707626,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
56,Ripete "puco" da sempre,Ripete X da sempre,puco,p,u,k,back,high,labial,velar,0,16,16,55,space,1.83649396896,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
10,Ha detto "pipo" sei volte,Ha detto X sei volte,pipo,p,i,p,front,high,labial,labial,0,17,17,9,space,1.86983299255,2018_Sep_21_1547,60.172815737336144,italian-egg,it19,
