stimulus_id,stimulus,sentence,word,consonant_1,vowel,consonant_2,backness,height,place_1,place_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
41,Scrivete "peco" sul foglio,Scrivete X sul foglio,peco,p,e,k,front,mid-high,labial,velar,0,27,27,40,space,2.02061700821,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
99,Sentivo "taco" di nuovo,Sentivo X di nuovo,taco,t,a,k,central,low,coronal,velar,0,28,28,98,space,1.80392289162,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
144,Ripete "cheto" da sempre,Ripete X da sempre,cheto,k,e,t,front,mid-high,velar,coronal,0,29,29,143,space,2.06959700584,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
165,Scrivete "coco" sul foglio,Scrivete X sul foglio,coco,k,o,k,back,mid-low,velar,velar,0,30,30,164,space,2.03568506241,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
46,Ha detto "pico" sei volte,Ha detto X sei volte,pico,p,i,k,front,high,labial,velar,0,31,31,45,space,2.08653688431,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
95,Sentivo "tuto" di nuovo,Sentivo X di nuovo,tuto,t,u,t,back,high,coronal,coronal,0,32,32,94,space,3.9547958374,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
155,Sentivo "cuto" di nuovo,Sentivo X di nuovo,cuto,k,u,t,back,high,velar,coronal,0,33,33,154,space,1.75253200531,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
67,Sentivo "tipo" di nuovo,Sentivo X di nuovo,tipo,t,i,p,front,high,coronal,labial,0,34,34,66,space,1.56906485558,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
17,Scrivete "pupo" sul foglio,Scrivete X sul foglio,pupo,p,u,p,back,high,labial,labial,0,35,35,16,space,1.8697810173,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
123,Sentivo "chepo" di nuovo,Sentivo X di nuovo,chepo,k,e,p,front,mid-high,velar,labial,0,36,36,122,space,1.63662195206,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
59,Sentivo "tapo" di nuovo,Sentivo X di nuovo,tapo,t,a,p,central,low,coronal,labial,0,37,37,58,space,1.5014538765,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
100,Ripete "taco" da sempre,Ripete X da sempre,taco,t,a,k,central,low,coronal,velar,0,38,38,99,space,1.72029399872,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
135,Sentivo "cupo" di nuovo,Sentivo X di nuovo,cupo,k,u,p,back,high,velar,labial,0,39,39,134,space,1.60242700577,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
42,Ha detto "peco" sei volte,Ha detto X sei volte,peco,p,e,k,front,mid-high,labial,velar,0,40,40,41,space,1.87037611008,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
76,Ripete "tupo" da sempre,Ripete X da sempre,tupo,t,u,p,back,high,coronal,labial,0,41,41,75,space,1.80140900612,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
89,Scrivete "toto" sul foglio,Scrivete X sul foglio,toto,t,o,t,back,mid-low,coronal,coronal,0,42,42,88,space,1.92023420334,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
147,Sentivo "chito" di nuovo,Sentivo X di nuovo,chito,k,i,t,front,high,velar,coronal,0,43,43,146,space,1.57045793533,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
113,Scrivete "tuco" sul foglio,Scrivete X sul foglio,tuco,t,u,k,back,high,coronal,velar,0,44,44,112,space,1.72034716606,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
20,Ripete "pupo" da sempre,Ripete X da sempre,pupo,p,u,p,back,high,labial,labial,0,45,45,19,space,1.6716940403,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
106,Ha detto "tico" sei volte,Ha detto X sei volte,tico,t,i,k,front,high,coronal,velar,0,46,46,105,space,1.88722586632,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
23,Sentivo "pato" di nuovo,Sentivo X di nuovo,pato,p,a,t,central,low,labial,coronal,0,47,47,22,space,1.77058410645,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
108,Ripete "tico" da sempre,Ripete X da sempre,tico,t,i,k,front,high,coronal,velar,0,48,48,107,space,1.90293002129,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
34,Ha detto "puto" sei volte,Ha detto X sei volte,puto,p,u,t,back,high,labial,coronal,0,49,49,33,space,1.73546099663,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
134,Ha detto "cupo" sei volte,Ha detto X sei volte,cupo,k,u,p,back,high,velar,labial,0,50,50,133,space,1.75197792053,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
43,Sentivo "peco" di nuovo,Sentivo X di nuovo,peco,p,e,k,front,mid-high,labial,velar,0,51,51,42,space,1.53494691849,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
22,Ha detto "pato" sei volte,Ha detto X sei volte,pato,p,a,t,central,low,labial,coronal,0,52,52,21,space,2.00380897522,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
74,Ha detto "tupo" sei volte,Ha detto X sei volte,tupo,t,u,p,back,high,coronal,labial,0,53,53,73,space,1.71671295166,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
8,Ripete "pepo" da sempre,Ripete X da sempre,pepo,p,e,p,front,mid-high,labial,labial,0,54,54,7,space,1.81978201866,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
143,Sentivo "cheto" di nuovo,Sentivo X di nuovo,cheto,k,e,t,front,mid-high,velar,coronal,0,55,55,142,space,1.63490009308,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
166,Ha detto "coco" sei volte,Ha detto X sei volte,coco,k,o,k,back,mid-low,velar,velar,0,56,56,165,space,1.65279698372,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
87,Sentivo "tito" di nuovo,Sentivo X di nuovo,tito,t,i,t,front,high,coronal,coronal,0,57,57,86,space,1.48625206947,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
30,Ha detto "poto" sei volte,Ha detto X sei volte,poto,p,o,t,back,mid-low,labial,coronal,0,58,58,29,space,1.70378804207,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
80,Ripete "tato" da sempre,Ripete X da sempre,tato,t,a,t,central,low,coronal,coronal,0,59,59,79,space,1.88650202751,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
91,Sentivo "toto" di nuovo,Sentivo X di nuovo,toto,t,o,t,back,mid-low,coronal,coronal,0,60,60,90,space,1.55185198784,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
56,Ripete "puco" da sempre,Ripete X da sempre,puco,p,u,k,back,high,labial,velar,0,61,61,55,space,1.68674516678,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
53,Scrivete "puco" sul foglio,Scrivete X sul foglio,puco,p,u,k,back,high,labial,velar,0,62,62,52,space,1.83547711372,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
1,Scrivete "papo" sul foglio,Scrivete X sul foglio,papo,p,a,p,central,low,labial,labial,0,63,63,0,space,1.71733784676,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
27,Sentivo "pito" di nuovo,Sentivo X di nuovo,pito,p,i,t,front,high,labial,coronal,0,64,64,26,space,1.57065677643,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
164,Ripete "chico" da sempre,Ripete X da sempre,chico,k,i,k,front,high,velar,velar,0,65,65,163,space,1.5182030201,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
15,Sentivo "popo" di nuovo,Sentivo X di nuovo,popo,p,o,p,back,mid-low,labial,labial,0,66,66,14,space,1.45341396332,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
31,Sentivo "poto" di nuovo,Sentivo X di nuovo,poto,p,o,t,back,mid-low,labial,coronal,0,67,67,30,space,1.53656482697,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
72,Ripete "topo" da sempre,Ripete X da sempre,topo,t,o,p,back,mid-low,coronal,labial,0,68,68,71,space,1.67166495323,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
118,Ha detto "capo" sei volte,Ha detto X sei volte,capo,k,a,p,central,low,velar,labial,0,69,69,117,space,1.68638014793,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
26,Ha detto "pito" sei volte,Ha detto X sei volte,pito,p,i,t,front,high,labial,coronal,0,70,70,25,space,1.71272182465,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
114,Ha detto "tuco" sei volte,Ha detto X sei volte,tuco,t,u,k,back,high,coronal,velar,0,71,71,113,space,1.7374048233,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
150,Ha detto "coto" sei volte,Ha detto X sei volte,coto,k,o,t,back,mid-low,velar,coronal,0,72,72,149,space,1.67015504837,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
64,Ripete "tepo" da sempre,Ripete X da sempre,tepo,t,e,p,front,mid-high,coronal,labial,0,73,73,63,space,1.79414606094,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
24,Ripete "pato" da sempre,Ripete X da sempre,pato,p,a,t,central,low,labial,coronal,0,74,74,23,space,1.72050905228,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
121,Scrivete "chepo" sul foglio,Scrivete X sul foglio,chepo,k,e,p,front,mid-high,velar,labial,0,75,75,120,space,1.78619408607,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
157,Scrivete "checo" sul foglio,Scrivete X sul foglio,checo,k,e,k,front,mid-high,velar,velar,0,76,76,156,space,1.81577277184,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
2,Ha detto "papo" sei volte,Ha detto X sei volte,papo,p,a,p,central,low,labial,labial,0,77,77,1,space,1.7816119194,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
63,Sentivo "tepo" di nuovo,Sentivo X di nuovo,tepo,t,e,p,front,mid-high,coronal,labial,0,78,78,62,space,1.47074198723,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
105,Scrivete "tico" sul foglio,Scrivete X sul foglio,tico,t,i,k,front,high,coronal,velar,0,79,79,104,space,1.9212911129,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
29,Scrivete "poto" sul foglio,Scrivete X sul foglio,poto,p,o,t,back,mid-low,labial,coronal,0,80,80,28,space,1.95288705826,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
152,Ripete "coto" da sempre,Ripete X da sempre,coto,k,o,t,back,mid-low,velar,coronal,0,81,81,151,space,1.75462388992,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
120,Ripete "capo" da sempre,Ripete X da sempre,capo,k,a,p,central,low,velar,labial,0,82,82,119,space,1.62106513977,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
60,Ripete "tapo" da sempre,Ripete X da sempre,tapo,t,a,p,central,low,coronal,labial,0,83,83,59,space,1.53878712654,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
3,Sentivo "papo" di nuovo,Sentivo X di nuovo,papo,p,a,p,central,low,labial,labial,0,84,84,2,space,1.37300181389,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
167,Sentivo "coco" di nuovo,Sentivo X di nuovo,coco,k,o,k,back,mid-low,velar,velar,0,85,85,166,space,1.50541806221,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
61,Scrivete "tepo" sul foglio,Scrivete X sul foglio,tepo,t,e,p,front,mid-high,coronal,labial,0,86,86,60,space,1.7377140522,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
79,Sentivo "tato" di nuovo,Sentivo X di nuovo,tato,t,a,t,central,low,coronal,coronal,0,87,87,78,space,1.55463290215,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
151,Sentivo "coto" di nuovo,Sentivo X di nuovo,coto,k,o,t,back,mid-low,velar,coronal,0,88,88,150,space,2.00409984589,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
88,Ripete "tito" da sempre,Ripete X da sempre,tito,t,i,t,front,high,coronal,coronal,0,89,89,87,space,9.00650405884,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
98,Ha detto "taco" sei volte,Ha detto X sei volte,taco,t,a,k,central,low,coronal,velar,0,90,90,97,space,1.88662815094,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
132,Ripete "copo" da sempre,Ripete X da sempre,copo,k,o,p,back,mid-low,velar,labial,0,91,91,131,space,1.7377538681,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
107,Sentivo "tico" di nuovo,Sentivo X di nuovo,tico,t,i,k,front,high,coronal,velar,0,92,92,106,space,1.53687381744,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
125,Scrivete "chipo" sul foglio,Scrivete X sul foglio,chipo,k,i,p,front,high,velar,labial,0,93,93,124,space,1.82033085823,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
146,Ha detto "chito" sei volte,Ha detto X sei volte,chito,k,i,t,front,high,velar,coronal,0,94,94,145,space,1.70358991623,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
140,Ripete "cato" da sempre,Ripete X da sempre,cato,k,a,t,central,low,velar,coronal,0,95,95,139,space,1.82011795044,2018_Aug_23_1113,59.77610525760723,italian-egg,it09,
