item,word,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place,language
1,pata,pata,p,voiceless,a,central,low,t,voiceless,coronal,italian
2,pada,pada,p,voiceless,a,central,low,d,voiced,coronal,italian
3,paca,paka,p,voiceless,a,central,low,k,voiceless,velar,italian
4,paga,paga,p,voiceless,a,central,low,g,voiced,velar,italian
5,bata,bata,b,voiced,a,central,low,t,voiceless,coronal,italian
6,bada,bada,b,voiced,a,central,low,d,voiced,coronal,italian
7,baca,baka,b,voiced,a,central,low,k,voiceless,velar,italian
8,baga,baga,b,voiced,a,central,low,g,voiced,velar,italian
9,poto,poto,p,voiceless,o,back,mid,t,voiceless,coronal,italian
10,podo,podo,p,voiceless,o,back,mid,d,voiced,coronal,italian
11,poco,poko,p,voiceless,o,back,mid,k,voiceless,velar,italian
12,pogo,pogo,p,voiceless,o,back,mid,g,voiced,velar,italian
13,boto,boto,b,voiced,o,back,mid,t,voiceless,coronal,italian
14,bodo,bodo,b,voiced,o,back,mid,d,voiced,coronal,italian
15,boco,boko,b,voiced,o,back,mid,k,voiceless,velar,italian
16,bogo,bogo,b,voiced,o,back,mid,g,voiced,velar,italian
17,putu,putu,p,voiceless,u,back,high,t,voiceless,coronal,italian
18,pudu,pudu,p,voiceless,u,back,high,d,voiced,coronal,italian
19,pucu,puku,p,voiceless,u,back,high,k,voiceless,velar,italian
20,pugu,pugu,p,voiceless,u,back,high,g,voiced,velar,italian
21,butu,butu,b,voiced,u,back,high,t,voiceless,coronal,italian
22,budu,budu,b,voiced,u,back,high,d,voiced,coronal,italian
23,bucu,buku,b,voiced,u,back,high,k,voiceless,velar,italian
24,bugu,bugu,b,voiced,u,back,high,g,voiced,velar,italian
