sound,time,period,maximum.abs,minimum.abs,maximum,minimum
breathy,0.01548438231787686,0.0083885597779035,0.019262632276862406,0.023122282203779862,0.45040508251940004,0.9105138531672827
breathy,0.02387294209578036,0.008642950500210713,0.027766144173631584,0.03159282418206375,0.45044826737770954,0.8931998495299935
breathy,0.032515892595991074,0.008427003805676757,0.03628883703441231,0.04013622149530338,0.4477207469491868,0.9042750039081456
breathy,0.04094289640166783,0.008560177313324056,0.044804311282489497,0.0486283856448897,0.4510905252875207,0.8978189308367807
breathy,0.04950307371499189,0.008427308152714301,0.053328093029143375,0.05714612302871292,0.45388387903194344,0.9069383930453915
breathy,0.05793038186770619,0.008553273464229849,0.06181769804377007,0.06552320891917152,0.45448285879327965,0.8877100776935114
breathy,0.06648365533193604,0.008416119153624765,0.0702809292579926,0.07402719446264544,0.45119060896626073,0.8963203815217436
breathy,0.0748997744855608,0.008721867770273423,0.07875452153416991,0.08264240551294194,0.441963481921518,0.8877262567279686
breathy,0.08362164225583422,0.008334135748429686,0.08725295586595296,0.09042900306654178,0.4357156782336958,0.816804647319333
breathy,0.09195577800426391,0.008666511252263531,0.09574598435245699,0.09967851232549195,0.43733934427225774,0.8911007089745605
breathy,0.10062228925652744,0.00828572481846808,0.10428150539211793,0.10814038651080495,0.4416289722094621,0.9073554117462834
breathy,0.10890801407499552,0.008560961234132358,0.11277776084302565,0.11601307194241832,0.4520224612864196,0.8299369280046607
breathy,0.11746897530912788,0.008639714638106963,0.12125726910536881,0.1244694431794213,0.4384744120519912,0.8102660983056821
breathy,0.12610868994723484,0.008441955658386763,0.1297548575613978,0.1336904167170675,0.43191030155916765,0.8981007572931865
breathy,0.1345506456056216,0.008420441838558529,0.13825925723555918,0.1415465273503035,0.4404295761482798,0.830821218032368
breathy,0.14297108744418013,0.008606775067418387,0.14669025452372364,0.15052725045527793,0.4321208641344306,0.8779319724181283
breathy,0.15157786251159852,0.008261053854124484,0.15519689204847634,0.1591656478449199,0.43808327615137727,0.9185008919331814
breathy,0.159838916365723,0.008650763564916425,0.1636168702414355,0.16699209306267618,0.436719122810635,0.8268838517287901
breathy,0.16848967993063943,0.008416983861829819,0.17208943787078582,0.1760457268052878,0.42767789498455966,0.8977143117636571
breathy,0.17690666379246925,0.008362071481088196,0.18060077785008546,0.18445977575274639,0.44177020801255856,0.9032584781605113
breathy,0.18526873527355744,0.008603311640461658,0.18903376771823754,0.19225769169055443,0.4376259517292188,0.8123565330503304
breathy,0.1938720469140191,0.00831469601447471,0.19752239178708303,0.20069886374118445,0.4390232507248843,0.8210542893307016
breathy,0.2021867429284938,0.008569441835291097,0.20599345630957744,0.20921203028179808,0.4442195249411265,0.8198068775462576
breathy,0.2107561847637849,0.008460736547359182,0.214442125349787,0.2175123547138987,0.4356524476763855,0.7985321268776036
breathy,0.2192169213111441,0.00848872778436191,0.22293431387934423,0.22621568214648463,0.43792104808077226,0.8244770021055199
breathy,0.227705649095506,0.008485010499149542,0.23141676486112642,0.23456271531683603,0.4373731495078742,0.8081388021873774
breathy,0.23619065959465554,0.008341045026840188,0.23993659095753944,0.24369913456195746,0.44909616850527384,0.9001839629375952
breathy,0.24453170462149573,0.008633032134003377,0.24838652856783083,0.2514517230176863,0.446520282387448,0.8015744976709099
breathy,0.2531647367554991,0.008444139018427277,0.2568798539577425,0.2607350737982261,0.43996400274036707,0.8965197074807217
breathy,0.2616088757739264,0.008426934840979117,0.26536136893917545,0.26834665930284407,0.4452975175506474,0.7995532961940914
breathy,0.2700358106149055,0.008510339444218529,0.2738134978962128,0.27707895456272835,0.4438938430209907,0.8275984752415001
breathy,0.27854615005912403,0.008418690205419077,0.28227524348251865,0.28612169975122564,0.442954109535259,0.8998489678626328
breathy,0.2869648402645431,0.008591516941606758,0.2907594481332791,0.2946888874734791,0.4416691364896875,0.8990318312159976
breathy,0.29555635720614987,0.008411563617316542,0.29924825455157666,0.3030943309310575,0.43890737957761383,0.8961441734078419
breathy,0.3039679208234664,0.008540223020588378,0.30770056182283245,0.31159176766860086,0.4370659864932759,0.892698800342243
breathy,0.3125081438440548,0.00824821236537987,0.3160851295279358,0.31996060424561024,0.4336679907630267,0.9035243118661177
breathy,0.32075635620943466,0.008520671042363648,0.3244394342190402,0.32766478314974495,0.4322521068227806,0.81078437437175
breathy,0.3292770272517983,0.008275362768287386,0.33289090868096455,0.336060840985639,0.43670368663658576,0.8197602840853604
breathy,0.3375523900200857,0.008547061162558378,0.341319815967526,0.34451340685359055,0.44078612236262343,0.8144339558488936
breathy,0.34609945118264407,0.008270426392856078,0.3497773345490121,0.3529007562203988,0.44470299252587064,0.8223644966636341
breathy,0.35436987757550015,0.0084829511528971,0.3581837063532319,0.3613930975801735,0.449587497203639,0.8279217784101937
breathy,0.36285282872839725,0.008385359473482068,0.3665959593516583,0.36977350350453414,0.44638880838661066,0.8253283354187609
breathy,0.3712381882018793,0.008400918373537014,0.3750025201351797,0.3781750191466389,0.4480857646656916,0.8257229312703125
breathy,0.37963910657541633,0.008457728824272481,0.38338151172592294,0.38662280953914574,0.4424834643274965,0.8257184770085291
breathy,0.3880968353996888,0.008252642839033097,0.3917268859916443,0.39538698884892143,0.4398652241178036,0.8833719805190008
breathy,0.3963494782387219,0.008510341755612216,0.3999960609621486,0.4037903095566951,0.4284884001305761,0.8743281447030333
breathy,0.4048598199943341,0.008302827487537356,0.40834679135663676,0.4117267773900367,0.4199739627899801,0.8270625164752579
breathy,0.4131626474818715,0.00836594643408134,0.4167169342861631,0.4206154715582641,0.4248517286474701,0.8908524737895994
