"lag",,"sach",,,"lag","sach"
"mag",,"fiach",,,"sed","set"
,,"gat",,,"fig","pich"
"red",,,,,"nas","pass"
"sed",,"set",,,"tus","tuss"
"fed",,,,,"fög",
"fig",,"pich","fitta",,"göb",
,,"poch","poco",,"növ",
,,"toch","tocco",,"möd",
"fög",,,,,,
"lög",,,,,,
"möd",,,,,,
"göb",,,,,,
,,"fiuch","fiocco",,,
"sud",,,,,,
"pas",,"pass",,,,
"nas",,,,,,
"pes",,"pess",,,,
"viv",,,,,,
"növ",,,,,,
"tus",,"tuss",,,,
"lüs",,"lüss",,,,
